SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,76ers,Elmer Bennett,5,G,Jun-00,170,13-Feb-70,26,1,1120
1995-96,76ers,Scott Skiles,5,G,1-Jun,180,5-Mar-64,32,9,101
1995-96,76ers,Richard Dumas,7,F,7-Jun,225,19-May-69,27,2,30
1995-96,76ers,Trevor Ruffin,8,G,1-Jun,199,26-Sep-70,25,1,460
1995-96,76ers,Sean Higgins,9,G-F,9-Jun,215,30-Dec-68,27,4,925
1995-96,76ers,Vernon Maxwell,11,G,4-Jun,190,12-Sep-65,30,7,137
1995-96,76ers,Greg Sutton,20,G,2-Jun,185,3-Dec-67,28,2,357
1995-96,76ers,Derrick Alston,21,F,11-Jun,225,20-Aug-72,23,1,308
1995-96,76ers,Rex Walters,23,G,4-Jun,190,12-Mar-70,26,2,777
1995-96,76ers,Trevor Wilson,30,F,7-Jun,210,16-Mar-68,28,3,1027
1995-96,76ers,Tony Massenburg,30,F,9-Jun,245,31-Jul-67,28,3,763
1995-96,76ers,Clar. Weatherspoon,35,F,7-Jun,240,8-Sep-70,25,3,221
1995-96,76ers,Mike Brown,40,C,10-Jun,257,19-Jul-63,32,9,1479
1995-96,76ers,LaSalle Thompson,41,C-F,10-Jun,260,23-Jun-61,35,13,78
1995-96,76ers,Jerry Stackhouse,42,G-F,6-Jun,218,5-Nov-74,21,R,711
1995-96,76ers,Derrick Coleman,44,F,10-Jun,258,21-Jun-67,29,5,934
1995-96,76ers,Ed Pinckney,54,F,9-Jun,240,27-Mar-63,33,10,291
1995-96,76ers,Scott Williams,55,C,10-Jun,230,21-Mar-68,28,5,281
1996-97,76ers,Allen Iverson,3,G,Jun-00,165,7-Jun-75,22,R,947
1996-97,76ers,Michael Cage,4,C-F,9-Jun,248,28-Jan-62,35,12,262
1996-97,76ers,Mark Davis,7,F,7-Jun,210,26-Apr-73,24,1,707
1996-97,76ers,Doug Overton,9,G,3-Jun,190,3-Aug-69,27,4,77
1996-97,76ers,Mark Hendrickson,14,F,9-Jun,220,23-Jun-74,23,R,971
1996-97,76ers,Frankie King,20,G,1-Jun,185,6-Jun-72,25,1,701
1996-97,76ers,Clar. Weatherspoon,35,F,7-Jun,240,8-Sep-70,26,4,221
1996-97,76ers,Jerry Stackhouse,42,G-F,6-Jun,218,5-Nov-74,22,1,711
1996-97,76ers,Derrick Coleman,44,F,10-Jun,260,21-Jun-67,30,6,934
1996-97,76ers,Adrian Caldwell,45,F,8-Jun,265,4-Jul-66,30,4,154
1996-97,76ers,Mark Bradtke,50,C,10-Jun,265,27-Sep-68,28,R,1361
1996-97,76ers,Scott Williams,55,C,10-Jun,230,21-Mar-68,29,6,281
1997-98,76ers,Benoit Benjamin,0,C,Jul-00,265,22-Nov-64,33,12,104
1997-98,76ers,Tim Thomas,1,F,10-Jun,230,26-Feb-77,21,R,1501
1997-98,76ers,Allen Iverson,3,G,Jun-00,165,7-Jun-75,23,1,947
