SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Bucks,Kevin Duckworth,0,C,Jul-00,290,1-Apr-64,32,9,404
1995-96,Bucks,Shawn Respert,3,G,2-Jun,195,6-Feb-72,24,R,704
1995-96,Bucks,Benoit Benjamin,7,C,Jul-00,265,22-Nov-64,31,10,104
1995-96,Bucks,Lee Mayberry,11,G,1-Jun,172,12-Jun-70,26,3,195
1995-96,Bucks,Glenn Robinson,13,F,7-Jun,240,10-Jan-73,23,1,299
1995-96,Bucks,Sherman Douglas,20,G,1-Jun,198,15-Sep-66,29,6,428
1995-96,Bucks,Johnny Newman,22,G-F,7-Jun,205,28-Nov-63,32,9,271
1995-96,Bucks,Marty Conlon,30,F,11-Jun,245,19-Jan-68,28,4,55
1995-96,Bucks,Randolph Keys,31,F,7-Jun,210,19-Apr-66,30,4,705
1995-96,Bucks,Terry Cummings,34,F,9-Jun,250,15-Mar-61,35,13,187
1995-96,Bucks,Vin Baker,42,C-F,11-Jun,250,23-Nov-71,24,2,452
1995-96,Bucks,Jerry Reynolds,44,G,8-Jun,200,23-Dec-62,33,7,77946
1995-96,Bucks,Mike Peplowski,54,C,10-Jun,270,15-Oct-70,25,2,46
1996-97,Bucks,Elliot Perry,5,G,Jun-00,160,28-Mar-69,28,4,386
1996-97,Bucks,David Wood,7,F,9-Jun,230,30-Nov-64,32,6,116
1996-97,Bucks,Armen Gilliam,10,C-F,9-Jun,260,28-May-64,33,9,288
1996-97,Bucks,Glenn Robinson,13,F,7-Jun,235,10-Jan-73,24,2,299
1996-97,Bucks,Sherman Douglas,20,G,1-Jun,195,15-Sep-66,30,7,428
1996-97,Bucks,Johnny Newman,22,G-F,7-Jun,200,28-Nov-63,33,10,271
1996-97,Bucks,Joe Wolf,23,C-F,11-Jun,260,17-Dec-64,32,8,341
1996-97,Bucks,Andrew Lang,28,C-F,11-Jun,275,28-Jun-66,31,8,457
1996-97,Bucks,Ray Allen,34,G,5-Jun,205,20-Jul-75,21,R,951
1996-97,Bucks,Vin Baker,42,F,11-Jun,245,23-Nov-71,25,3,452
1996-97,Bucks,Chucky Brown,52,F,8-Jun,215,29-Feb-68,29,7,359
1996-97,Bucks,Acie Earl,55,F-C,11-Jun,240,23-Jun-70,27,3,768
1997-98,Bucks,Elliot Perry,5,G,Jun-00,152,28-Mar-69,29,5,386
1997-98,Bucks,Terrell Brandon,7,G,11-May,173,20-May-70,28,6,210
1997-98,Bucks,Litterial Green,9,G,1-Jun,195,7-Mar-70,28,3,1036
1997-98,Bucks,Armen Gilliam,10,F,9-Jun,260,28-May-64,34,10,288
1997-98,Bucks,Jamie Feick,11,F,8-Jun,255,3-Jul-74,23,1,994
1997-98,Bucks,Michael Curry,12,G,5-Jun,227,22-Aug-68,29,3,688
1997-98,Bucks,Ricky Pierce,22,G,4-Jun,215,19-Aug-59,38,15,894
1997-98,Bucks,Jerald Honeycutt,25,F-G,9-Jun,254,20-Oct-74,23,R,1532
1997-98,Bucks,Andrew Lang,28,C,11-Jun,270,28-Jun-66,32,9,457
1997-98,Bucks,Ray Allen,34,G,5-Jun,205,20-Jul-75,22,1,951
1997-98,Bucks,Ervin Johnson,40,C,11-Jun,245,21-Dec-67,30,4,911
1997-98,Bucks,Tyrone Hill,42,F-C,9-Jun,250,19-Mar-68,30,7,238
1998-99,Bucks,Haywoode Workman,3,G,3-Jun,180,23-Jan-66,33,6,906
1998-99,Bucks,Tim Thomas,5,F,10-Jun,230,26-Feb-77,22,1,1501
1998-99,Bucks,Armen Gilliam,10,F,9-Jun,260,28-May-64,35,11,288
1998-99,Bucks,Michael Curry,12,G,5-Jun,227,22-Aug-68,30,4,688
1998-99,Bucks,Glenn Robinson,13,F,7-Jun,230,10-Jan-73,26,4,299
1998-99,Bucks,Sam Cassell,20,G,3-Jun,185,18-Nov-69,29,5,208
1998-99,Bucks,Chris Gatling,25,F,10-Jun,230,3-Sep-67,31,7,423
1998-99,Bucks,Dell Curry,30,G-F,5-Jun,205,25-Jun-64,35,12,209
1998-99,Bucks,Ray Allen,34,G,5-Jun,205,20-Jul-75,23,2,951
1998-99,Bucks,Ervin Johnson,40,C,11-Jun,245,21-Dec-67,31,5,911
1998-99,Bucks,Scott Williams,42,C-F,10-Jun,230,21-Mar-68,31,8,281
1998-99,Bucks,Robert Traylor,54,C-F,8-Jun,284,1-Feb-77,22,R,1714
