SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
2004-05,Bulls,Tyson Chandler,3,F-C,1-Jul,235,2-Oct-82,22,3,2199
2004-05,Bulls,Andres Nocioni,5,F,7-Jun,225,30-Nov-79,25,R,2804
2004-05,Bulls,Ben Gordon,7,G,3-Jun,200,4-Apr-83,22,R,2732
2004-05,Bulls,Kirk Hinrich,12,G,3-Jun,190,2-Jan-81,24,1,2550
2004-05,Bulls,Jannero Pargo,15,G,1-Jun,175,22-Oct-79,25,2,2457
2004-05,Bulls,Chris Duhon,21,G,1-Jun,185,31-Aug-82,22,R,2768
2004-05,Bulls,Othella Harrington,24,F-C,9-Jun,235,31-Jan-74,31,8,970
2004-05,Bulls,Frank Williams,30,G,3-Jun,212,25-Feb-80,25,2,2421
2004-05,Bulls,Antonio Davis,34,F-C,9-Jun,245,31-Oct-68,36,11,213
2004-05,Bulls,Jared Reiner,35,C,11-Jun,255,8-Apr-82,23,R,2876
2004-05,Bulls,Adrian Griffin,44,G-F,5-Jun,230,4-Jul-74,30,5,1559
2004-05,Bulls,Lawrence Funderburke,51,F,9-Jun,230,15-Dec-70,34,6,1444
2004-05,Bulls,Eric Piatkowski,52,G-F,7-Jun,215,30-Sep-70,34,10,15
2005-06,Bulls,Randy Livingston,1,G,4-Jun,209,2-Apr-75,31,9,988
2005-06,Bulls,Tyson Chandler,3,C,1-Jul,235,2-Oct-82,23,4,2199
2005-06,Bulls,Andres Nocioni,5,F,7-Jun,225,30-Nov-79,26,1,2804
2005-06,Bulls,Ben Gordon,7,G,3-Jun,200,4-Apr-83,23,1,2732
2005-06,Bulls,Luol Deng,9,F-G,9-Jun,220,16-Apr-85,21,1,2736
2005-06,Bulls,Kirk Hinrich,12,G,3-Jun,190,2-Jan-81,25,2,2550
2005-06,Bulls,Eddie Basden,13,G,5-Jun,215,15-Feb-83,23,R,101188
2005-06,Bulls,Jannero Pargo,15,G,1-Jun,175,22-Oct-79,26,3,2457
2005-06,Bulls,Chris Duhon,21,G,1-Jun,185,31-Aug-82,23,1,2768
2005-06,Bulls,Othella Harrington,24,C-F,9-Jun,235,31-Jan-74,32,9,970
2005-06,Bulls,Darius Songaila,25,F,8-Jun,240,14-Feb-78,28,2,2443
2005-06,Bulls,Malik Allen,35,F,10-Jun,255,27-Jun-78,28,4,2124
2005-06,Bulls,Luke Schenscher,45,C,1-Jul,265,31-Dec-81,24,R,101195
2005-06,Bulls,Michael Sweetney,50,F,8-Jun,270,25-Oct-82,23,2,2552
2005-06,Bulls,Eric Piatkowski,52,G-F,7-Jun,215,30-Sep-70,35,11,15
2006-07,Bulls,Thabo Sefolosha,2,G,7-Jun,215,2-May-84,23,R,200757
2006-07,Bulls,Ben Wallace,3,C,9-Jun,240,10-Sep-74,32,10,1112
2006-07,Bulls,Andres Nocioni,5,F,7-Jun,225,30-Nov-79,27,2,2804
2006-07,Bulls,Ben Gordon,7,G,3-Jun,200,4-Apr-83,24,2,2732
2006-07,Bulls,Luol Deng,9,F-G,9-Jun,220,16-Apr-85,22,2,2736
2006-07,Bulls,Andre Barrett,11,G,10-May,173,21-Feb-82,25,2,2857
2006-07,Bulls,Kirk Hinrich,12,G,3-Jun,190,2-Jan-81,26,3,2550
2006-07,Bulls,Martynas Andriuskevicius,15,C,2-Jul,240,12-Mar-86,21,1,101149
2006-07,Bulls,Chris Duhon,21,G,1-Jun,185,31-Aug-82,24,2,2768
2006-07,Bulls,Tyrus Thomas,24,F,9-Jun,215,17-Aug-86,20,R,200748
2006-07,Bulls,Malik Allen,35,F,10-Jun,255,27-Jun-78,29,5,2124
2006-07,Bulls,Viktor Khryapa,38,F,9-Jun,218,3-Aug-82,24,2,2751
2006-07,Bulls,P.J. Brown,42,F-C,11-Jun,239,14-Oct-69,37,13,136
2006-07,Bulls,Adrian Griffin,44,G-F,5-Jun,230,4-Jul-74,32,7,1559
2006-07,Bulls,Michael Sweetney,50,F,8-Jun,270,25-Oct-82,24,3,2552
2007-08,Bulls,Thabo Sefolosha,2,G,7-Jun,215,2-May-84,24,1,200757
2007-08,Bulls,Andres Nocioni,5,F,7-Jun,225,30-Nov-79,28,3,2804
2007-08,Bulls,Shannon Brown,6,G,4-Jun,211,29-Nov-85,22,1,200769
2007-08,Bulls,Ben Gordon,7,G,3-Jun,200,4-Apr-83,25,3,2732
2007-08,Bulls,Luol Deng,9,F,9-Jun,220,16-Apr-85,23,3,2736
2007-08,Bulls,Kirk Hinrich,12,G,3-Jun,190,2-Jan-81,27,4,2550
2007-08,Bulls,Joakim Noah,13,C-F,11-Jun,232,25-Feb-85,23,R,201149
2007-08,Bulls,Cedric Simmons,15,F,9-Jun,235,3-Jan-86,22,1,200759
2007-08,Bulls,JamesOn Curry,20,G,3-Jun,190,7-Jan-86,22,R,201191
2007-08,Bulls,Chris Duhon,21,G,1-Jun,185,31-Aug-82,25,3,2768
2007-08,Bulls,Tyrus Thomas,24,F,8-Jun,215,17-Aug-86,21,1,200748
2007-08,Bulls,Larry Hughes,32,G,5-Jun,185,23-Jan-79,29,9,1716
2007-08,Bulls,Aaron Gray,34,C,Jul-00,270,7-Dec-84,23,R,201189
2007-08,Bulls,Demetris Nichols,35,F,8-Jun,216,4-Sep-84,23,R,201193
2007-08,Bulls,Drew Gooden,90,F,10-Jun,250,24-Sep-81,26,5,2400
2008-09,Bulls,Derrick Rose,1,G,3-Jun,190,4-Oct-88,20,R,201565
2008-09,Bulls,Tim Thomas,2,F,10-Jun,240,26-Feb-77,32,11,1501
2008-09,Bulls,Anthony Roberson,5,G,2-Jun,180,14-Feb-83,26,2,101194
2008-09,Bulls,Ben Gordon,7,G,3-Jun,200,4-Apr-83,26,4,2732
2008-09,Bulls,Luol Deng,9,F,9-Jun,220,16-Apr-85,24,4,2736
2008-09,Bulls,Lindsey Hunter,11,G,2-Jun,195,3-Dec-70,38,15,283
2008-09,Bulls,Kirk Hinrich,12,G,3-Jun,190,2-Jan-81,28,5,2550
2008-09,Bulls,Joakim Noah,13,C-F,11-Jun,232,25-Feb-85,24,1,201149
2008-09,Bulls,John Salmons,15,F-G,6-Jun,207,12-Dec-79,29,6,2422
2008-09,Bulls,DeMarcus Nelson,21,G,4-Jun,200,2-Nov-85,23,R,201634
2008-09,Bulls,Tyrus Thomas,24,F,9-Jun,215,17-Aug-86,22,2,200748
2008-09,Bulls,Jerome James,31,C,1-Jul,285,17-Nov-75,33,8,1744
2008-09,Bulls,Aaron Gray,34,C,Jul-00,270,7-Dec-84,24,1,201189
2008-09,Bulls,Brad Miller,52,C,Jul-00,261,12-Apr-76,33,10,1802
2008-09,Bulls,Linton Johnson,54,F,8-Jun,205,13-Jun-80,29,5,2669
2009-10,Bulls,Acie Law,0,G,3-Jun,202,25-Jan-85,25,2,201151
2009-10,Bulls,Derrick Rose,1,G,3-Jun,190,4-Oct-88,21,1,201565
2009-10,Bulls,Jannero Pargo,2,G,1-Jun,185,22-Oct-79,30,6,2457
2009-10,Bulls,Ronald Murray,6,G,3-Jun,200,29-Jul-79,30,7,2436
2009-10,Bulls,Luol Deng,9,F,9-Jun,220,16-Apr-85,25,5,2736
2009-10,Bulls,Kirk Hinrich,12,G,3-Jun,190,2-Jan-81,29,6,2550
2009-10,Bulls,Joakim Noah,13,C-F,11-Jun,232,25-Feb-85,25,2,201149
2009-10,Bulls,James Johnson,16,F,9-Jun,245,20-Feb-87,23,R,201949
2009-10,Bulls,Joe Alexander,20,F,8-Jun,230,26-Dec-86,23,1,201570
2009-10,Bulls,Hakim Warrick,21,F,9-Jun,219,8-Jul-82,27,4,101124
2009-10,Bulls,Taj Gibson,22,F,9-Jun,225,24-Jun-85,25,R,201959
2009-10,Bulls,Rob Kurz,31,F,9-Jun,232,5-Mar-85,25,1,201633
2009-10,Bulls,Devin Brown,32,G,5-Jun,210,30-Dec-78,31,7,2484
2009-10,Bulls,Chris Richard,35,F,9-Jun,256,25-Dec-84,25,1,201181
2009-10,Bulls,Brad Miller,52,F-C,Jul-00,261,12-Apr-76,34,11,1802
2010-11,Bulls,Derrick Rose,1,G,3-Jun,190,4-Oct-88,22,2,201565
2010-11,Bulls,Omer Asik,3,C-F,Jul-00,255,4-Jul-86,24,R,201600
2010-11,Bulls,Carlos Boozer,5,F,9-Jun,266,20-Nov-81,29,8,2430
2010-11,Bulls,Keith Bogans,6,G,5-Jun,215,12-May-80,31,7,2586
2010-11,Bulls,Luol Deng,9,F,9-Jun,220,16-Apr-85,26,6,2736
2010-11,Bulls,Ronnie Brewer,11,G,7-Jun,227,20-Mar-85,26,4,200758
2010-11,Bulls,Jannero Pargo,12,G,1-Jun,185,22-Oct-79,31,7,2457
2010-11,Bulls,Joakim Noah,13,C,11-Jun,232,25-Feb-85,26,3,201149
2010-11,Bulls,John Lucas III,15,G,11-May,165,21-Nov-82,28,2,101249
2010-11,Bulls,Taj Gibson,22,F,9-Jun,225,24-Jun-85,26,1,201959
2010-11,Bulls,Brian Scalabrine,24,F,9-Jun,235,18-Mar-78,33,9,2243
2010-11,Bulls,Kyle Korver,26,G-F,7-Jun,212,17-Mar-81,30,7,2594
2010-11,Bulls,CJ Watson,32,G,2-Jun,175,17-Apr-84,27,3,201228
2010-11,Bulls,Kurt Thomas,40,C,9-Jun,230,4-Oct-72,38,15,703
2010-11,Bulls,Rasual Butler,45,G-F,7-Jun,215,23-May-79,32,8,2446
2011-12,Bulls,Derrick Rose,1,G,3-Jun,190,4-Oct-88,23,3,201565
2011-12,Bulls,Omer Asik,3,C,Jul-00,255,4-Jul-86,25,1,201600
2011-12,Bulls,Carlos Boozer,5,F,9-Jun,266,20-Nov-81,30,9,2430
2011-12,Bulls,CJ Watson,7,G,2-Jun,175,17-Apr-84,28,4,201228
2011-12,Bulls,Mike James,8,G,2-Jun,188,23-Jun-75,37,9,2229
2011-12,Bulls,Luol Deng,9,F,9-Jun,220,16-Apr-85,27,7,2736
2011-12,Bulls,Ronnie Brewer,11,G,7-Jun,227,20-Mar-85,27,5,200758
2011-12,Bulls,Joakim Noah,13,C,11-Jun,232,25-Feb-85,27,4,201149
2011-12,Bulls,John Lucas III,15,G,11-May,165,21-Nov-82,29,3,101249
2011-12,Bulls,Jimmy Butler,21,G-F,7-Jun,220,14-Sep-89,22,R,202710
2011-12,Bulls,Taj Gibson,22,F,9-Jun,225,24-Jun-85,27,2,201959
2011-12,Bulls,Brian Scalabrine,24,F,9-Jun,235,18-Mar-78,34,10,2243
2011-12,Bulls,Kyle Korver,26,F-G,7-Jun,212,17-Mar-81,31,8,2594
2011-12,Bulls,Richard Hamilton,32,G,7-Jun,193,14-Feb-78,34,12,1888
2012-13,Bulls,Nate Robinson,2,G,9-May,180,31-May-84,29,7,101126
2012-13,Bulls,Malcolm Thomas,3,F,9-Jun,225,8-Nov-88,24,1,202952
2012-13,Bulls,Carlos Boozer,5,F,9-Jun,266,20-Nov-81,31,10,2430
2012-13,Bulls,Marco Belinelli,8,G,5-Jun,195,25-Mar-86,27,5,201158
2012-13,Bulls,Luol Deng,9,F,9-Jun,220,16-Apr-85,28,8,2736
2012-13,Bulls,Kirk Hinrich,12,G,4-Jun,190,2-Jan-81,32,9,2550
2012-13,Bulls,Joakim Noah,13,C,11-Jun,232,25-Feb-85,28,5,201149
2012-13,Bulls,Daequan Cook,14,G,5-Jun,210,28-Apr-87,26,5,201161
2012-13,Bulls,Jimmy Butler,21,G-F,7-Jun,220,14-Sep-89,23,1,202710
2012-13,Bulls,Taj Gibson,22,F,9-Jun,225,24-Jun-85,28,3,201959
2012-13,Bulls,Marquis Teague,25,G,2-Jun,190,28-Feb-93,20,R,203104
2012-13,Bulls,Richard Hamilton,32,G,7-Jun,193,14-Feb-78,35,13,1888
2012-13,Bulls,Nazr Mohammed,48,C,10-Jun,250,5-Sep-77,35,14,1737
2012-13,Bulls,Vladimir Radmanovic,77,F,10-Jun,235,19-Nov-80,32,11,2209
2013-14,Bulls,Derrick Rose,1,G,3-Jun,190,4-Oct-88,25,4,201565
2013-14,Bulls,Carlos Boozer,5,F,9-Jun,266,20-Nov-81,32,11,2430
2013-14,Bulls,Mike James,8,G,2-Jun,188,23-Jun-75,39,11,2229
2013-14,Bulls,Greg Smith,9,F-C,10-Jun,250,8-Jan-91,23,2,202962
2013-14,Bulls,Ronnie Brewer,11,F,7-Jun,235,20-Mar-85,29,7,200758
2013-14,Bulls,Kirk Hinrich,12,G,4-Jun,190,2-Jan-81,33,10,2550
2013-14,Bulls,Joakim Noah,13,C,11-Jun,232,25-Feb-85,29,6,201149
