SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
2004-05,Cavaliers,Jeff McInnis,0,G,6-4,179,"OCT 22, 1974",30.0,7,976
2004-05,Cavaliers,Sasha Pavlovic,3,F,6-7,210,"NOV 15, 1983",21.0,1,2562
2004-05,Cavaliers,Zydrunas Ilgauskas,11,C,7-3,260,"JUN 05, 1975",30.0,6,980
2004-05,Cavaliers,Ira Newble,14,F-G,6-7,220,"JAN 20, 1975",30.0,4,1956
2004-05,Cavaliers,Anderson Varejao,17,F,6-10,230,"SEP 28, 1982",22.0,R,2760
2004-05,Cavaliers,Eric Snow,20,G,6-3,205,"APR 24, 1973",32.0,9,727
2004-05,Cavaliers,LeBron James,23,F,6-8,240,"DEC 30, 1984",20.0,1,2544
2004-05,Cavaliers,Robert Traylor,32,F-C,6-8,284,"FEB 01, 1977",28.0,6,1714
2004-05,Cavaliers,Jiri Welsch,44,F,6-7,208,"JAN 27, 1980",25.0,2,2412
2004-05,Cavaliers,DeSagana Diop,52,C,7-0,280,"JAN 30, 1982",23.0,3,2205
2004-05,Cavaliers,Drew Gooden,90,F,6-10,242,"SEP 24, 1981",23.0,2,2400
2005-06,Cavaliers,Stephen Graham,1,G-F,6-6,215,"JUN 11, 1982",24.0,R,101211
2005-06,Cavaliers,Ronald Murray,2,G,6-3,197,"JUL 29, 1979",26.0,3,2436
2005-06,Cavaliers,Sasha Pavlovic,3,G-F,6-7,210,"NOV 15, 1983",22.0,2,2562
2005-06,Cavaliers,Zydrunas Ilgauskas,11,C,7-3,260,"JUN 05, 1975",31.0,7,980
2005-06,Cavaliers,Ira Newble,14,F-G,6-7,220,"JAN 20, 1975",31.0,5,1956
2005-06,Cavaliers,Martynas Andriuskevicius,15,C,7-2,240,"MAR 12, 1986",20.0,R,101149
2005-06,Cavaliers,Anderson Varejao,17,F,6-10,240,"SEP 28, 1982",23.0,1,2760
2005-06,Cavaliers,Damon Jones,19,G,6-3,190,"AUG 25, 1976",29.0,7,1800
2005-06,Cavaliers,Eric Snow,20,G,6-3,205,"APR 24, 1973",33.0,10,727
2005-06,Cavaliers,LeBron James,23,F,6-8,240,"DEC 30, 1984",21.0,2,2544
2005-06,Cavaliers,Donyell Marshall,24,F,6-9,230,"MAY 18, 1973",33.0,11,923
2005-06,Cavaliers,Larry Hughes,32,G,6-5,184,"JAN 23, 1979",27.0,7,1716
2005-06,Cavaliers,Luke Jackson,33,F-G,6-7,215,"NOV 06, 1981",24.0,1,2739
2005-06,Cavaliers,Alan Henderson,44,F-C,6-9,240,"DEC 02, 1972",33.0,10,673
2005-06,Cavaliers,Drew Gooden,90,F,6-10,242,"SEP 24, 1981",24.0,3,2400
2006-07,Cavaliers,Daniel Gibson,1,G,6-2,190,"FEB 27, 1986",21.0,R,200789
2006-07,Cavaliers,Sasha Pavlovic,3,F,6-7,210,"NOV 15, 1983",23.0,3,2562
2006-07,Cavaliers,David Wesley,4,G,6-1,203,"NOV 14, 1970",36.0,13,133
2006-07,Cavaliers,Shannon Brown,6,G,6-4,205,"NOV 29, 1985",21.0,R,200769
2006-07,Cavaliers,Zydrunas Ilgauskas,11,C,7-3,260,"JUN 05, 1975",32.0,8,980
2006-07,Cavaliers,Ira Newble,14,F-G,6-7,220,"JAN 20, 1975",32.0,6,1956
2006-07,Cavaliers,Anderson Varejao,17,C-F,6-10,240,"SEP 28, 1982",24.0,2,2760
2006-07,Cavaliers,Damon Jones,19,G,6-3,190,"AUG 25, 1976",30.0,8,1800
2006-07,Cavaliers,Eric Snow,20,G,6-3,205,"APR 24, 1973",34.0,11,727
2006-07,Cavaliers,LeBron James,23,F,6-8,240,"DEC 30, 1984",22.0,3,2544
2006-07,Cavaliers,Donyell Marshall,24,F,6-9,230,"MAY 18, 1973",34.0,12,923
2006-07,Cavaliers,Dwayne Jones,27,F-C,6-11,251,"JUN 09, 1983",24.0,1,101204
2006-07,Cavaliers,Scot Pollard,31,C-F,6-11,265,"FEB 12, 1975",32.0,9,1513
2006-07,Cavaliers,Larry Hughes,32,G,6-5,184,"JAN 23, 1979",28.0,8,1716
2006-07,Cavaliers,Drew Gooden,90,F-C,6-10,250,"SEP 24, 1981",25.0,4,2400
2007-08,Cavaliers,Daniel Gibson,1,G,6-2,194,"FEB 27, 1986",22.0,1,200789
2007-08,Cavaliers,Sasha Pavlovic,3,G-F,6-7,239,"NOV 15, 1983",24.0,4,2562
2007-08,Cavaliers,Ben Wallace,4,C-F,6-9,240,"SEP 10, 1974",33.0,11,1112
2007-08,Cavaliers,Wally Szczerbiak,10,F,6-7,245,"MAR 05, 1977",31.0,8,1887
2007-08,Cavaliers,Zydrunas Ilgauskas,11,C,7-3,260,"JUN 05, 1975",33.0,9,980
2007-08,Cavaliers,Billy Thomas,12,G,6-5,220,"DEC 23, 1975",32.0,2,2873
2007-08,Cavaliers,Delonte West,13,G,6-3,180,"JUL 26, 1983",24.0,3,2753
2007-08,Cavaliers,Anderson Varejao,17,C-F,6-10,240,"SEP 28, 1982",25.0,3,2760
2007-08,Cavaliers,Damon Jones,19,G,6-3,195,"AUG 25, 1976",31.0,9,1800
2007-08,Cavaliers,Eric Snow,20,G,6-3,205,"APR 24, 1973",35.0,12,727
2007-08,Cavaliers,LeBron James,23,F,6-8,250,"DEC 30, 1984",23.0,4,2544
2007-08,Cavaliers,Dwayne Jones,27,C-F,6-11,251,"JUN 09, 1983",25.0,2,101204
2007-08,Cavaliers,Joe Smith,32,F-C,6-10,225,"JUL 26, 1975",32.0,12,693
2007-08,Cavaliers,Devin Brown,33,G,6-5,210,"DEC 30, 1978",29.0,5,2484
2007-08,Cavaliers,Lance Allred,41,C,6-11,250,"FEB 02, 1981",27.0,R,200984
2008-09,Cavaliers,Darnell Jackson,00,F,6-9,253,"NOV 07, 1985",23.0,R,201616
2008-09,Cavaliers,Daniel Gibson,1,G,6-2,200,"FEB 27, 1986",23.0,2,200789
2008-09,Cavaliers,Mo Williams,2,G,6-1,190,"DEC 19, 1982",26.0,5,2590
2008-09,Cavaliers,Sasha Pavlovic,3,G-F,6-7,235,"NOV 15, 1983",25.0,5,2562
2008-09,Cavaliers,Ben Wallace,4,F-C,6-9,240,"SEP 10, 1974",34.0,12,1112
2008-09,Cavaliers,Tarence Kinsey,8,G,6-6,189,"MAR 21, 1984",25.0,2,200814
2008-09,Cavaliers,Wally Szczerbiak,10,G-F,6-7,240,"MAR 05, 1977",32.0,9,1887
2008-09,Cavaliers,Zydrunas Ilgauskas,11,C,7-3,260,"JUN 05, 1975",34.0,10,980
2008-09,Cavaliers,Delonte West,13,G,6-3,180,"JUL 26, 1983",25.0,4,2753
2008-09,Cavaliers,Anderson Varejao,17,C-F,6-11,260,"SEP 28, 1982",26.0,4,2760
2008-09,Cavaliers,JJ Hickson,21,F,6-9,242,"SEP 04, 1988",20.0,R,201581
2008-09,Cavaliers,LeBron James,23,F,6-8,250,"DEC 30, 1984",24.0,5,2544
2008-09,Cavaliers,Jawad Williams,31,F,6-9,218,"FEB 19, 1983",26.0,R,101214
2008-09,Cavaliers,Joe Smith,32,C-F,6-10,225,"JUL 26, 1975",33.0,13,693
2008-09,Cavaliers,Lorenzen Wright,55,F-C,6-11,255,"NOV 04, 1975",33.0,12,953
2009-10,Cavaliers,Daniel Gibson,1,G,6-2,200,"FEB 27, 1986",24.0,3,200789
2009-10,Cavaliers,Mo Williams,2,G,6-1,190,"DEC 19, 1982",27.0,6,2590
2009-10,Cavaliers,Sebastian Telfair,3,G,6-0,175,"JUN 09, 1985",25.0,5,2742
2009-10,Cavaliers,Antawn Jamison,4,F,6-9,235,"JUN 12, 1976",34.0,11,1712
2009-10,Cavaliers,Zydrunas Ilgauskas,11,C,7-3,260,"JUN 05, 1975",35.0,11,980
2009-10,Cavaliers,Delonte West,13,G,6-3,180,"JUL 26, 1983",26.0,5,2753
2009-10,Cavaliers,Danny Green,14,F,6-6,210,"JUN 22, 1987",23.0,R,201980
2009-10,Cavaliers,Jamario Moon,15,F,6-8,200,"JUN 13, 1980",30.0,2,200081
2009-10,Cavaliers,Anderson Varejao,17,F-C,6-11,260,"SEP 28, 1982",27.0,5,2760
2009-10,Cavaliers,Anthony Parker,18,G,6-6,215,"JUN 19, 1975",35.0,6,1515
2009-10,Cavaliers,JJ Hickson,21,F,6-9,242,"SEP 04, 1988",21.0,1,201581
2009-10,Cavaliers,LeBron James,23,F,6-8,250,"DEC 30, 1984",25.0,6,2544
2009-10,Cavaliers,Jawad Williams,31,F,6-9,218,"FEB 19, 1983",27.0,1,101214
2009-10,Cavaliers,Shaquille O'Neal,33,C,7-1,325,"MAR 06, 1972",38.0,17,406
2009-10,Cavaliers,Leon Powe,44,F,6-8,240,"JAN 22, 1984",26.0,3,200796
2010-11,Cavaliers,Daniel Gibson,1,G,6-2,200,"FEB 27, 1986",25.0,4,200789
2010-11,Cavaliers,Ramon Sessions,3,G,6-3,190,"APR 11, 1986",25.0,3,201196
2010-11,Cavaliers,Antawn Jamison,4,F,6-9,235,"JUN 12, 1976",35.0,12,1712
2010-11,Cavaliers,Ryan Hollins,5,C,7-0,240,"OCT 10, 1984",26.0,4,200797
2010-11,Cavaliers,Manny Harris,6,G,6-5,185,"SEP 21, 1989",21.0,R,202412
2010-11,Cavaliers,Christian Eyenga,8,F,6-5,210,"JUN 22, 1989",22.0,R,201963
2010-11,Cavaliers,Semih Erden,9,C,6-11,240,"JUL 28, 1986",24.0,R,201623
2010-11,Cavaliers,Joey Graham,12,F,6-7,230,"JUN 11, 1982",29.0,5,101121
2010-11,Cavaliers,Anderson Varejao,17,C,6-11,260,"SEP 28, 1982",28.0,6,2760
