SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
2004-05,Cavaliers,Al Jefferson,7,F,10-Jun,265,4-Jan-85,20,R,2744
2004-05,Cavaliers,Antoine Walker,8,F,9-Jun,245,12-Aug-76,28,8,952
2004-05,Cavaliers,Justin Reed,9,F,8-Jun,240,16-Jan-82,23,R,2770
2004-05,Cavaliers,Marcus Banks,11,G,2-Jun,200,19-Nov-81,23,1,2556
2004-05,Cavaliers,Ricky Davis,12,F,7-Jun,195,23-Sep-79,25,6,1729
2004-05,Cavaliers,Delonte West,13,G,4-Jun,180,26-Jul-83,21,R,2753
2004-05,Cavaliers,Gary Payton,20,G,4-Jun,180,23-Jul-68,36,14,56
2004-05,Cavaliers,Mark Blount,30,C,Jul-00,250,30-Nov-75,29,4,1548
2004-05,Cavaliers,Paul Pierce,34,F-G,6-Jun,230,13-Oct-77,27,6,1718
2004-05,Cavaliers,Tony Allen,42,G,4-Jun,213,11-Jan-82,23,R,2754
2004-05,Cavaliers,Kendrick Perkins,43,C,10-Jun,280,10-Nov-84,20,1,2570
2004-05,Cavaliers,Raef LaFrentz,45,F,11-Jun,245,29-May-76,29,6,1711
2005-06,Cavaliers,Orien Greene,0,G,4-Jun,208,4-Feb-82,24,R,101158
2005-06,Cavaliers,Ryan Gomes,4,F,7-Jun,250,1-Sep-82,23,R,101155
2005-06,Cavaliers,Gerald Green,5,G-F,8-Jun,200,26-Jan-86,20,R,101123
2005-06,Cavaliers,Al Jefferson,7,F,10-Jun,265,4-Jan-85,21,1,2744
2005-06,Cavaliers,Delonte West,13,G,4-Jun,180,26-Jul-83,22,1,2753
2005-06,Cavaliers,Dan Dickau,20,G,Jun-00,190,16-Sep-78,27,3,2424
2005-06,Cavaliers,Dwayne Jones,27,F-C,11-Jun,250,9-Jun-83,23,R,101204
2005-06,Cavaliers,Paul Pierce,34,F-G,6-Jun,230,13-Oct-77,28,7,1718
