SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Clippers,Pooh Richardson,2,G,6-1,180,"MAY 14, 1966",30.0,6,71
1995-96,Clippers,Lamond Murray,7,F,6-7,236,"APR 20, 1973",23.0,1,441
1995-96,Clippers,Bison Dele,8,C,6-9,235,"APR 06, 1969",27.0,4,183
1995-96,Clippers,Malik Sealy,21,G,6-8,190,"FEB 01, 1970",26.0,3,907
1995-96,Clippers,Terry Dehere,24,G,6-4,190,"SEP 12, 1971",24.0,2,143
1995-96,Clippers,Log Vander Velden,25,F,6-8,215,"APR 03, 1971",25.0,R,78403
1995-96,Clippers,Brent Barry,31,G,6-6,185,"DEC 31, 1971",24.0,R,699
1995-96,Clippers,Loy Vaught,35,F,6-9,240,"FEB 27, 1968",28.0,5,919
1995-96,Clippers,Antonio Harvey,40,F,6-10,246,"JUL 06, 1970",25.0,2,176
1995-96,Clippers,Bo Outlaw,45,F,6-8,210,"APR 13, 1971",25.0,2,448
1995-96,Clippers,Keith Tower,51,C,6-11,250,"MAY 15, 1970",26.0,2,700
1995-96,Clippers,Eric Piatkowski,52,G-F,6-7,215,"SEP 30, 1970",25.0,1,15
1995-96,Clippers,Stanley Roberts,53,C,7-0,290,"FEB 07, 1970",26.0,3,914
1995-96,Clippers,Rodney Rogers,54,F,6-7,255,"JUN 20, 1971",25.0,2,915
1996-97,Clippers,Kevin Duckworth,00,C,7-0,300,"APR 01, 1964",33.0,11,404
1996-97,Clippers,Pooh Richardson,2,G,6-1,180,"MAY 14, 1966",31.0,7,71
1996-97,Clippers,Lamond Murray,7,F-G,6-7,236,"APR 20, 1973",24.0,2,441
1996-97,Clippers,Darrick Martin,15,G,5-11,170,"MAR 06, 1971",26.0,2,239
1996-97,Clippers,Malik Sealy,21,G-F,6-8,200,"FEB 01, 1970",27.0,4,907
1996-97,Clippers,Terry Dehere,24,G,6-4,190,"SEP 12, 1971",25.0,3,143
