SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Grizzlies,Greg Anthony,2,G,1-Jun,176,15-Nov-67,28,4,21
1995-96,Grizzlies,Byron Scott,4,G,4-Jun,202,28-Mar-61,35,12,2
1995-96,Grizzlies,Eric Murdock,14,G,1-Jun,200,14-Jun-68,28,4,785
1995-96,Grizzlies,Richard Manning,15,F,11-Jun,253,23-Jun-70,26,R,316
1995-96,Grizzlies,Chris King,17,F,8-Jun,215,24-Jul-69,26,1,12
1995-96,Grizzlies,Ashraf Amaya,18,F,7-Jun,250,23-Nov-71,24,R,732
1995-96,Grizzlies,Lawrence Moten,21,G,5-Jun,185,25-Mar-72,24,R,734
1995-96,Grizzlies,Gerald Wilkins,21,G,6-Jun,230,11-Sep-63,32,9,786
1995-96,Grizzlies,Blue Edwards,30,G,4-Jun,228,31-Oct-65,30,6,898
1995-96,Grizzlies,Doug Edwards,32,F,7-Jun,235,21-Jan-71,25,2,346
1995-96,Grizzlies,Anthony Avent,34,F,9-Jun,235,18-Oct-69,26,3,138
1995-96,Grizzlies,Cuonzo Martin,40,G-F,6-Jun,215,23-Sep-71,24,R,733
1995-96,Grizzlies,Kenny Gattison,44,F,8-Jun,225,23-May-64,32,8,930
1995-96,Grizzlies,Bryant Reeves,50,C,Jul-00,295,8-Jun-73,23,R,735
1996-97,Grizzlies,Greg Anthony,2,G,1-Jun,180,15-Nov-67,29,5,21
1996-97,Grizzlies,Shareef Abdur-Rahim,3,F,9-Jun,230,11-Dec-76,20,R,949
1996-97,Grizzlies,Chris Robinson,5,G,5-Jun,200,2-Apr-74,23,R,997
1996-97,Grizzlies,Anthony Peeler,7,G,4-Jun,208,25-Nov-69,27,4,324
1996-97,Grizzlies,Lee Mayberry,11,G,1-Jun,180,12-Jun-70,27,4,195
1996-97,Grizzlies,Aaron Williams,15,F,9-Jun,225,2-Oct-71,25,2,1425
1996-97,Grizzlies,Lawrence Moten,21,G,5-Jun,190,25-Mar-72,25,1,734
1996-97,Grizzlies,Blue Edwards,30,F-G,4-Jun,228,31-Oct-65,31,7,898
1996-97,Grizzlies,Pete Chilcutt,33,F-C,10-Jun,240,14-Sep-68,28,5,432
1996-97,Grizzlies,Roy Rogers,40,F,10-Jun,235,19-Aug-73,23,,964
1996-97,Grizzlies,,44,F,10-Jun,235,,,R,78009
