SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
2004-05,Hawks,Tony Delk,00,G,6-2,189,"JAN 28, 1974",31.0,8,960
2004-05,Hawks,Josh Childress,1,G-F,6-8,210,"JUN 20, 1983",22.0,R,2735
2004-05,Hawks,Al Harrington,3,F,6-9,250,"FEB 17, 1980",25.0,6,1733
2004-05,Hawks,Josh Smith,5,G-F,6-9,225,"DEC 05, 1985",19.0,R,2746
2004-05,Hawks,Tom Gugliotta,7,F,6-10,250,"DEC 19, 1969",35.0,12,339
2004-05,Hawks,Tyronn Lue,10,G,6-0,178,"MAY 03, 1977",28.0,6,1731
2004-05,Hawks,Boris Diaw,13,G,6-8,215,"APR 16, 1982",23.0,1,2564
2004-05,Hawks,Predrag Drobnjak,14,C,6-11,270,"OCT 27, 1975",29.0,3,1542
2004-05,Hawks,Donta Smith,15,G,6-7,215,"NOV 27, 1983",21.0,R,2764
2004-05,Hawks,Royal Ivey,36,G,6-3,200,"DEC 20, 1981",23.0,R,2767
2004-05,Hawks,Jason Collier,40,C,7-0,260,"SEP 08, 1977",27.0,4,2044
2004-05,Hawks,Kevin Willis,42,C-F,7-0,245,"SEP 06, 1962",42.0,19,788
2004-05,Hawks,Michael Stewart,44,C,6-10,230,"APR 25, 1975",30.0,7,1565
2005-06,Hawks,Josh Childress,1,F-G,6-8,210,"JUN 20, 1983",23.0,1,2735
2005-06,Hawks,Joe Johnson,2,G,6-7,230,"JUN 29, 1981",25.0,4,2207
2005-06,Hawks,Al Harrington,3,F,6-9,245,"FEB 17, 1980",26.0,7,1733
2005-06,Hawks,Josh Smith,5,F,6-9,225,"DEC 05, 1985",20.0,1,2746
2005-06,Hawks,Tyronn Lue,10,G,6-0,178,"MAY 03, 1977",29.0,7,1731
2005-06,Hawks,Esteban Batista,11,F-C,6-10,270,"SEP 02, 1983",22.0,R,101212
2005-06,Hawks,Donta Smith,15,G,6-7,215,"NOV 27, 1983",22.0,1,2764
2005-06,Hawks,Anthony Grundy,16,G,6-3,185,"APR 15, 1979",27.0,R,101219
2005-06,Hawks,Salim Stoudamire,20,G,6-1,179,"OCT 11, 1982",23.0,R,101136
2005-06,Hawks,Marvin Williams,24,F,6-9,230,"JUN 19, 1986",20.0,R,101107
2005-06,Hawks,Zaza Pachulia,27,C-F,6-11,265,"FEB 10, 1984",22.0,2,2585
2005-06,Hawks,Royal Ivey,36,G,6-3,200,"DEC 20, 1981",24.0,1,2767
2005-06,Hawks,John Edwards,54,C,7-0,275,"JUL 31, 1981",24.0,1,2823
2006-07,Hawks,Josh Childress,1,G-F,6-8,210,"JUN 20, 1983",24.0,2,2735
2006-07,Hawks,Joe Johnson,2,G-F,6-7,235,"JUN 29, 1981",26.0,5,2207
2006-07,Hawks,Slava Medvedenko,3,F,6-10,253,"APR 04, 1979",28.0,6,2098
2006-07,Hawks,Josh Smith,5,F,6-9,235,"DEC 05, 1985",21.0,2,2746
2006-07,Hawks,Anthony Johnson,8,G,6-3,195,"OCT 02, 1974",32.0,9,1533
2006-07,Hawks,Tyronn Lue,10,G,6-0,175,"MAY 03, 1977",30.0,8,1731
2006-07,Hawks,Esteban Batista,11,F-C,6-10,268,"SEP 02, 1983",23.0,1,101212
2006-07,Hawks,Speedy Claxton,12,G,5-11,170,"MAY 08, 1978",29.0,5,2049
2006-07,Hawks,Salim Stoudamire,20,G,6-1,175,"OCT 11, 1982",24.0,1,101136
2006-07,Hawks,Marvin Williams,24,F,6-9,230,"JUN 19, 1986",21.0,1,101107
2006-07,Hawks,Zaza Pachulia,27,C,6-11,280,"FEB 10, 1984",23.0,3,2585
2006-07,Hawks,Shelden Williams,33,F,6-9,250,"OCT 21, 1983",23.0,R,200749
2006-07,Hawks,Royal Ivey,36,G,6-4,215,"DEC 20, 1981",25.0,2,2767
2006-07,Hawks,Lorenzen Wright,42,C,6-11,255,"NOV 04, 1975",31.0,10,953
2006-07,Hawks,Solomon Jones,44,F,6-10,230,"JUL 16, 1984",22.0,R,200780
2007-08,Hawks,Josh Childress,1,G-F,6-8,210,"JUN 20, 1983",25.0,3,2735
2007-08,Hawks,Joe Johnson,2,G,6-7,235,"JUN 29, 1981",27.0,6,2207
2007-08,Hawks,Acie Law,4,G,6-3,195,"JAN 25, 1985",23.0,R,201151
2007-08,Hawks,Josh Smith,5,F,6-9,235,"DEC 05, 1985",22.0,3,2746
2007-08,Hawks,Mario West,6,G,6-5,210,"JUN 19, 1984",24.0,R,201238
2007-08,Hawks,Mike Bibby,10,G,6-1,190,"MAY 13, 1978",30.0,9,1710
2007-08,Hawks,Speedy Claxton,12,G,6-1,170,"MAY 08, 1978",30.0,6,2049
