SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Heat,Keith Askins,2,F-G,8-Jun,224,15-Dec-67,28,5,173
1995-96,Heat,Sasha Danilovic,5,G,6-Jun,200,26-Feb-70,26,R,390
1995-96,Heat,Rex Chapman,7,G,4-Jun,195,5-Oct-67,28,7,364
1995-96,Heat,Tim Hardaway,10,G,Jun-00,195,1-Sep-66,29,5,896
1995-96,Heat,Tony Smith,14,G,4-Jun,205,14-Jun-68,28,5,380
1995-96,Heat,Chris Gatling,15,C-F,10-Jun,230,3-Sep-67,28,4,423
1995-96,Heat,Stacey King,21,F-C,11-Jun,250,29-Jan-67,29,6,351
1995-96,Heat,Voshon Lenard,22,G,4-Jun,215,14-May-73,23,R,702
1995-96,Heat,Tyrone Corbin,23,F,6-Jun,225,31-Dec-62,33,10,895
1995-96,Heat,Dan Schayes,24,C-F,11-Jun,276,10-May-59,37,14,7
1995-96,Heat,LeRon Ellis,28,C,9-Jun,225,28-Apr-69,27,2,1034
1995-96,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,26,3,297
1995-96,Heat,Kurt Thomas,40,F,9-Jun,230,4-Oct-72,23,R,703
1995-96,Heat,Walt Williams,42,F-G,8-Jun,230,16-Apr-70,26,3,1005
1996-97,Heat,Keith Askins,2,F-G,8-Jun,224,15-Dec-67,29,6,173
1996-97,Heat,Ike Austin,8,C,10-Jun,270,18-Aug-69,27,3,1134
1996-97,Heat,Dan Majerle,9,F-G,6-Jun,220,9-Sep-65,31,8,105
1996-97,Heat,Tim Hardaway,10,G,Jun-00,195,1-Sep-66,30,7,896
1996-97,Heat,John Crotty,11,G,2-Jun,185,15-Jul-69,27,4,180
1996-97,Heat,Voshon Lenard,21,G,4-Jun,205,14-May-73,24,1,702
1996-97,Heat,Jamal Mashburn,24,F,8-Jun,250,29-Nov-72,24,3,469
1996-97,Heat,Mark Strickland,30,F,10-Jun,220,14-Jul-70,26,1,1110
1996-97,Heat,James Scott,32,F,6-Jun,180,3-Jun-72,25,,1109
1996-97,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,27,4,297
1996-97,Heat,Willie Anderson,35,G-F,8-Jun,200,8-Jan-67,30,7,335
1996-97,Heat,P.J. Brown,42,F,11-Jun,240,14-Oct-69,27,3,136
1996-97,Heat,Ed Pinckney,54,F,9-Jun,240,27-Mar-63,34,11,291
1997-98,Heat,Keith Askins,2,G-F,8-Jun,224,15-Dec-67,30,7,173
1997-98,Heat,Eric Murdock,5,G,1-Jun,200,14-Jun-68,30,6,785
1997-98,Heat,Terry Mills,6,F,10-Jun,250,21-Dec-67,30,7,371
1997-98,Heat,Dan Majerle,9,G-F,6-Jun,220,9-Sep-65,32,9,105
1997-98,Heat,Tim Hardaway,10,G,Jun-00,195,1-Sep-66,31,8,896
1997-98,Heat,Voshon Lenard,21,G,4-Jun,205,14-May-73,25,2,702
1997-98,Heat,Jamal Mashburn,24,F,8-Jun,250,29-Nov-72,25,4,469
1997-98,Heat,Mark Strickland,30,F,10-Jun,220,14-Jul-70,27,2,1110
1997-98,Heat,Duane Causwell,31,C,Jul-00,240,31-May-68,30,7,190
1997-98,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,28,5,297
1997-98,Heat,Marty Conlon,40,F,11-Jun,245,19-Jan-68,30,6,55
1997-98,Heat,P.J. Brown,42,F,11-Jun,240,14-Oct-69,28,4,136
1998-99,Heat,Keith Askins,2,F-G,8-Jun,215,15-Dec-67,31,8,173
1998-99,Heat,Duane Causwell,4,C,Jul-00,255,31-May-68,31,8,190
1998-99,Heat,Mark Strickland,5,F,10-Jun,220,14-Jul-70,28,3,1110
1998-99,Heat,Dan Majerle,9,F-G,6-Jun,220,9-Sep-65,33,10,105
1998-99,Heat,Tim Hardaway,10,G,Jun-00,195,1-Sep-66,32,9,896
1998-99,Heat,Voshon Lenard,21,G,4-Jun,205,14-May-73,26,3,702
1998-99,Heat,Rex Walters,23,G,4-Jun,195,12-Mar-70,29,5,777
1998-99,Heat,Jamal Mashburn,24,F,8-Jun,241,29-Nov-72,26,5,469
1998-99,Heat,Terry Porter,30,G,3-Jun,195,8-Apr-63,36,13,345
1998-99,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,29,6,297
1998-99,Heat,Clar. Weatherspoon,35,F,7-Jun,265,8-Sep-70,28,6,221
1998-99,Heat,P.J. Brown,42,F,11-Jun,240,14-Oct-69,29,5,136
1999-00,Heat,Duane Causwell,4,C,Jul-00,255,31-May-68,32,9,190
1999-00,Heat,Dan Majerle,9,G,6-Jun,222,9-Sep-65,34,11,105
1999-00,Heat,Tim Hardaway,10,G,Jun-00,195,1-Sep-66,33,10,896
1999-00,Heat,Bruce Bowen,12,F,7-Jun,200,14-Jun-71,29,4,1477
1999-00,Heat,Jamal Mashburn,24,F,8-Jun,241,29-Nov-72,27,6,469
1999-00,Heat,Anthony Carter,25,G,1-Jun,190,16-Jun-75,25,R,1853
1999-00,Heat,Mark Strickland,30,F,10-Jun,220,14-Jul-70,29,5,1110
1999-00,Heat,Rodney Buford,32,G-F,5-Jun,189,2-Nov-77,22,R,1934
1999-00,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,30,7,297
1999-00,Heat,Clar. Weatherspoon,35,F,7-Jun,265,8-Sep-70,29,7,221
1999-00,Heat,P.J. Brown,42,F,11-Jun,240,14-Oct-69,30,6,136
1999-00,Heat,Otis Thorpe,52,F,10-Jun,246,5-Aug-62,37,15,901
2000-01,Heat,Duane Causwell,4,C,Jul-00,255,31-May-68,33,10,190
2000-01,Heat,Eddie House,5,G,1-Jun,180,14-May-78,23,R,2067
2000-01,Heat,Eddie Jones,6,G,7-Jun,194,20-Oct-71,29,6,224
2000-01,Heat,Dan Majerle,9,G-F,6-Jun,222,9-Sep-65,35,12,105
2000-01,Heat,Tim Hardaway,10,G,Jun-00,195,1-Sep-66,34,10,896
2000-01,Heat,Bruce Bowen,12,F-G,7-Jun,200,14-Jun-71,30,4,1477
2000-01,Heat,Anthony Mason,14,F,8-Jun,255,14-Dec-66,34,10,193
2000-01,Heat,Cedric Ceballos,23,F,7-Jun,220,2-Aug-69,31,10,76
2000-01,Heat,Anthony Carter,25,G,1-Jun,190,16-Jun-75,26,1,1853
2000-01,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,31,8,297
2000-01,Heat,Brian Grant,44,C-F,9-Jun,250,5-Mar-72,29,6,258
2000-01,Heat,A.C. Green,45,F,9-Jun,225,4-Oct-63,37,15,920
2001-02,Heat,Rod Strickland,1,G,3-Jun,185,11-Jul-66,35,13,393
2001-02,Heat,Eddie House,5,G,1-Jun,180,14-May-78,24,1,2067
2001-02,Heat,Eddie Jones,6,G,6-Jun,200,20-Oct-71,30,7,224
2001-02,Heat,Mike James,7,G,2-Jun,190,23-Jun-75,27,R,2229
2001-02,Heat,Kendall Gill,13,F-G,5-Jun,215,25-May-68,34,11,383
2001-02,Heat,Sean Marks,22,C-F,10-Jun,250,23-Aug-75,26,2,1752
2001-02,Heat,Anthony Carter,25,G,2-Jun,195,16-Jun-75,27,2,1853
2001-02,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,32,9,297
2001-02,Heat,Malik Allen,35,F,10-Jun,255,27-Jun-78,24,R,2124
2001-02,Heat,Vladimir Stepania,50,C,Jul-00,236,8-May-76,26,3,1735
2001-02,Heat,Ernest Brown,52,C,Jul-00,244,17-May-79,23,R,2081
2002-03,Heat,Travis Best,1,G,11-May,184,12-Jul-72,30,7,696
2002-03,Heat,LaPhonso Ellis,3,F,8-Jun,240,5-May-70,33,10,111
2002-03,Heat,Caron Butler,4,F,7-Jun,217,13-Mar-80,23,R,2406
2002-03,Heat,Eddie House,5,G,1-Jun,180,14-May-78,25,2,2067
2002-03,Heat,Eddie Jones,6,G,6-Jun,210,20-Oct-71,31,8,224
2002-03,Heat,Mike James,7,G,2-Jun,190,23-Jun-75,28,1,2229
2002-03,Heat,Khalid El-Amin,11,G,10-May,200,25-Apr-79,24,1,2064
2002-03,Heat,Sean Lampley,21,F,7-Jun,227,3-Sep-79,23,R,2253
2002-03,Heat,Sean Marks,22,C-F,10-Jun,250,23-Aug-75,27,3,1752
2002-03,Heat,Anthony Carter,25,G,2-Jun,195,16-Jun-75,28,3,1853
2002-03,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,33,10,297
2002-03,Heat,Malik Allen,35,F,10-Jun,255,27-Jun-78,25,1,2124
2002-03,Heat,Brian Grant,44,F,9-Jun,254,5-Mar-72,31,8,258
2002-03,Heat,Rasual Butler,45,F,7-Jun,205,23-May-79,24,R,2446
2002-03,Heat,Vladimir Stepania,50,C,1-Jul,255,8-May-76,27,4,1735
2002-03,Heat,Ernest Brown,52,C,Jul-00,244,17-May-79,24,1,2081
2002-03,Heat,Ken Johnson,54,C-F,10-Jun,240,1-Feb-78,25,R,2256
2003-04,Heat,Loren Woods,1,C,2-Jul,261,21-Jun-78,26,2,2254
2003-04,Heat,Dwyane Wade,3,G,4-Jun,212,17-Jan-82,22,R,2548
2003-04,Heat,Caron Butler,4,F,7-Jun,217,13-Mar-80,24,1,2406
2003-04,Heat,Eddie Jones,6,G,6-Jun,200,20-Oct-71,32,9,224
2003-04,Heat,Lamar Odom,7,F,10-Jun,225,6-Nov-79,24,4,1885
2003-04,Heat,Rafer Alston,11,G,2-Jun,175,24-Jul-76,27,4,1747
2003-04,Heat,Bimbo Coles,12,G,2-Jun,182,22-Apr-68,36,13,902
2003-04,Heat,Wang Zhi-zhi,15,C,1-Jul,284,8-Jul-77,26,3,1917
2003-04,Heat,John Wallace,22,F,9-Jun,225,9-Feb-74,30,6,961
2003-04,Heat,Jerome Beasley,24,F,9-Jun,237,17-May-80,24,R,2602
2003-04,Heat,Malik Allen,35,F,10-Jun,255,27-Jun-78,26,2,2124
2003-04,Heat,Udonis Haslem,40,F,8-Jun,228,9-Jun-80,24,R,2617
2003-04,Heat,Brian Grant,44,C,9-Jun,254,5-Mar-72,32,9,258
2003-04,Heat,Rasual Butler,45,F,7-Jun,205,23-May-79,25,1,2446
2003-04,Heat,Samaki Walker,52,F,9-Jun,260,25-Feb-76,28,7,955
2004-05,Heat,Dorell Wright,1,F,7-Jun,210,2-Dec-85,19,R,2748
2004-05,Heat,Dwyane Wade,3,G,4-Jun,212,17-Jan-82,23,1,2548
2004-05,Heat,Keyon Dooling,5,G,3-Jun,190,8-May-80,25,4,2039
2004-05,Heat,Eddie Jones,6,F-G,6-Jun,200,20-Oct-71,33,10,224
2004-05,Heat,Steven Smith,8,G-F,8-Jun,221,31-Mar-69,36,13,120
2004-05,Heat,Damon Jones,19,G,3-Jun,185,25-Aug-76,28,6,1800
2004-05,Heat,Shaquille O'Neal,32,C,1-Jul,325,6-Mar-72,33,12,406
2004-05,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,35,11,297
2004-05,Heat,Udonis Haslem,40,F,8-Jun,228,9-Jun-80,25,1,2617
2004-05,Heat,Christian Laettner,44,F-C,11-Jun,245,17-Aug-69,35,12,363
2004-05,Heat,Rasual Butler,45,F,7-Jun,205,23-May-79,26,2,2446
2004-05,Heat,Shandon Anderson,49,G-F,6-Jun,210,31-Dec-73,31,8,1000
2004-05,Heat,Michael Doleac,51,C,11-Jun,262,15-Jun-77,28,6,1720
2005-06,Heat,Dorell Wright,1,F,8-Jun,205,2-Dec-85,20,1,2748
2005-06,Heat,Dwyane Wade,3,G,4-Jun,212,17-Jan-82,24,2,2548
2005-06,Heat,Derek Anderson,5,G,5-Jun,195,18-Jul-74,31,8,1507
2005-06,Heat,Antoine Walker,8,F,9-Jun,245,12-Aug-76,29,9,952
2005-06,Heat,Gary Payton,20,G,4-Jun,190,23-Jul-68,37,15,56
2005-06,Heat,Jason Kapono,24,F,8-Jun,215,2-Feb-81,25,2,2574
2005-06,Heat,Wayne Simien,25,F,9-Jun,250,9-Mar-83,23,R,101134
2005-06,Heat,Shaquille O'Neal,32,C,1-Jul,325,6-Mar-72,34,13,406
2005-06,Heat,Alonzo Mourning,33,C,10-Jun,261,8-Feb-70,36,12,297
2005-06,Heat,Udonis Haslem,40,F,8-Jun,235,9-Jun-80,26,2,2617
2005-06,Heat,James Posey,42,F-G,8-Jun,217,13-Jan-77,29,6,1899
2005-06,Heat,Shandon Anderson,49,G-F,6-Jun,215,31-Dec-73,32,9,1000
2005-06,Heat,Michael Doleac,51,C,11-Jun,262,15-Jun-77,29,7,1720
2005-06,Heat,Jason Williams,55,G,1-Jun,180,18-Nov-75,30,7,1715
2006-07,Heat,Dorell Wright,1,F,8-Jun,205,2-Dec-85,21,2,2748
2006-07,Heat,Dwyane Wade,3,G,4-Jun,212,17-Jan-82,25,3,2548
2006-07,Heat,Eddie Jones,6,G-F,6-Jun,200,20-Oct-71,35,12,224
