SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Hornets,Robert Parish,00,C,7-1,240,"AUG 30, 1953",42.0,19,305
1995-96,Hornets,Muggsy Bogues,1,G,5-3,136,"JAN 09, 1965",31.0,8,177
1995-96,Hornets,Larry Johnson,2,F,6-7,251,"MAR 14, 1969",27.0,4,913
1995-96,Hornets,Darrin Hancock,4,G-F,6-7,207,"NOV 03, 1971",24.0,1,241
1995-96,Hornets,Anthony Goldwire,5,G,6-2,182,"SEP 06, 1971",24.0,R,924
1995-96,Hornets,Rafael Addison,7,F,6-8,250,"JUL 22, 1964",31.0,4,912
1995-96,Hornets,Kenny Anderson,12,G,6-1,168,"OCT 09, 1970",25.0,4,72
1995-96,Hornets,Corey Beck,14,G,6-1,190,"MAY 27, 1971",25.0,R,1133
1995-96,Hornets,Pete Myers,20,G-F,6-6,192,"SEP 15, 1963",32.0,7,939
1995-96,Hornets,Michael Adams,23,G,5-10,165,"JAN 19, 1963",33.0,10,149
1995-96,Hornets,Scott Burrell,24,F,6-7,218,"JAN 12, 1971",25.0,2,197
1995-96,Hornets,George Zidek,25,C,7-0,272,"AUG 02, 1973",22.0,R,678
1995-96,Hornets,Dell Curry,30,F-G,6-5,210,"JUN 25, 1964",32.0,9,209
1995-96,Hornets,Glen Rice,41,G-F,6-8,220,"MAY 28, 1967",29.0,6,779
1995-96,Hornets,Matt Geiger,52,C,7-1,243,"SEP 10, 1969",26.0,3,761
1996-97,Hornets,Tony Delk,00,G,6-2,189,"JAN 28, 1974",23.0,R,960
1996-97,Hornets,Muggsy Bogues,1,G,5-3,141,"JAN 09, 1965",32.0,9,177
1996-97,Hornets,Donald Royal,5,F,6-8,218,"MAY 22, 1966",31.0,6,140
1996-97,Hornets,Rafael Addison,7,F,6-8,241,"JUL 22, 1964",32.0,5,912
1996-97,Hornets,Vlade Divac,12,C,7-1,260,"FEB 03, 1968",29.0,7,124
1996-97,Hornets,Anthony Mason,14,F,6-8,250,"DEC 14, 1966",30.0,7,193
1996-97,Hornets,Ricky Pierce,21,G,6-4,215,"AUG 19, 1959",37.0,14,894
1996-97,Hornets,Dell Curry,30,G,6-5,205,"JUN 25, 1964",33.0,10,209
1996-97,Hornets,Malik Rose,31,F,6-7,250,"NOV 23, 1974",22.0,R,990
1996-97,Hornets,Tony Smith,34,G,6-4,205,"JUN 14, 1968",29.0,6,380
1996-97,Hornets,Glen Rice,41,F-G,6-8,220,"MAY 28, 1967",30.0,7,779
