SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Jazz,Greg Ostertag,00,C,7-2,280,"MAR 06, 1973",23.0,R,731
1995-96,Jazz,Bryon Russell,3,F,6-7,225,"DEC 31, 1970",25.0,2,935
1995-96,Jazz,Andy Toolson,5,F,6-6,210,"JAN 19, 1966",30.0,1,342
1995-96,Jazz,Howard Eisley,10,G,6-2,180,"DEC 04, 1972",23.0,1,458
1995-96,Jazz,John Stockton,12,G,6-1,175,"MAR 26, 1962",34.0,11,304
1995-96,Jazz,Jeff Hornacek,14,G,6-4,190,"MAY 03, 1963",33.0,9,204
1995-96,Jazz,Jamie Watson,15,F,6-7,190,"FEB 23, 1972",24.0,1,320
1995-96,Jazz,David Benoit,21,F,6-8,220,"MAY 09, 1968",28.0,4,128
1995-96,Jazz,Adam Keefe,31,F,6-9,241,"FEB 22, 1970",26.0,3,228
1995-96,Jazz,Karl Malone,32,F,6-9,256,"JUL 24, 1963",32.0,10,252
1995-96,Jazz,Chris Morris,34,G-F,6-8,220,"JAN 20, 1966",30.0,7,356
1995-96,Jazz,Greg Foster,44,C,6-11,240,"OCT 03, 1968",27.0,5,323
1995-96,Jazz,Felton Spencer,50,C,7-0,265,"JAN 05, 1968",28.0,5,280
1995-96,Jazz,Antoine Carr,55,F,6-9,255,"JUL 23, 1961",34.0,11,156
1996-97,Jazz,Greg Ostertag,00,C,7-2,280,"MAR 06, 1973",24.0,1,731
1996-97,Jazz,Bryon Russell,3,F,6-7,225,"DEC 31, 1970",26.0,3,935
1996-97,Jazz,Howard Eisley,10,G,6-2,177,"DEC 04, 1972",24.0,2,458
1996-97,Jazz,John Stockton,12,G,6-1,175,"MAR 26, 1962",35.0,12,304
1996-97,Jazz,Jeff Hornacek,14,G,6-4,190,"MAY 03, 1963",34.0,10,204
1996-97,Jazz,Adam Keefe,31,F,6-9,241,"FEB 22, 1970",27.0,4,228
1996-97,Jazz,Karl Malone,32,F,6-9,256,"JUL 24, 1963",33.0,11,252
1996-97,Jazz,Chris Morris,34,F,6-8,220,"JAN 20, 1966",31.0,8,356
1996-97,Jazz,Shandon Anderson,40,F-G,6-6,208,"DEC 31, 1973",23.0,R,1000
1996-97,Jazz,Stephen Howard,43,F,6-9,245,"JUL 15, 1970",26.0,2,1128
1996-97,Jazz,Greg Foster,44,C,6-11,250,"OCT 03, 1968",28.0,6,323
1996-97,Jazz,Antoine Carr,55,C-F,6-9,255,"JUL 23, 1961",35.0,12,156
1997-98,Jazz,Greg Ostertag,0,C,7-2,280,"MAR 06, 1973",25.0,2,731
