SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Magic,Anfernee Hardaway,1,G,6-7,207,"JUL 18, 1971",24.0,2,358
1995-96,Magic,Dennis Scott,3,F-G,6-8,229,"SEP 05, 1968",27.0,5,192
1995-96,Magic,Donald Royal,5,F,6-8,210,"MAY 22, 1966",30.0,5,140
1995-96,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",28.0,1,353
1995-96,Magic,Joe Wolf,12,F-C,6-11,257,"DEC 17, 1964",31.0,7,341
1995-96,Magic,Anthony Bowie,14,G,6-6,200,"NOV 09, 1963",32.0,6,194
1995-96,Magic,Brian Shaw,20,G,6-6,194,"MAR 22, 1966",30.0,6,216
1995-96,Magic,Brooks Thompson,22,G,6-4,193,"JUL 19, 1970",25.0,1,240
1995-96,Magic,Anthony Bonner,24,F,6-8,225,"JUN 08, 1968",28.0,5,41
1995-96,Magic,Nick Anderson,25,G-F,6-6,220,"JAN 20, 1968",28.0,6,98
1995-96,Magic,Jeff Turner,31,F,6-9,230,"APR 09, 1962",34.0,9,78381
1995-96,Magic,Shaquille O'Neal,32,C,7-1,301,"MAR 06, 1972",24.0,3,406
1995-96,Magic,David Vaughn,42,F,6-9,240,"MAR 23, 1973",23.0,R,710
1995-96,Magic,Jon Koncak,45,C,7-0,250,"MAY 17, 1963",33.0,10,402
1995-96,Magic,Horace Grant,54,F,6-10,235,"JUL 04, 1965",30.0,8,270
1996-97,Magic,Amal McCaskill,0,C,6-11,235,"OCT 28, 1973",23.0,R,1043
1996-97,Magic,Anfernee Hardaway,1,G,6-7,215,"JUL 18, 1971",25.0,3,358
1996-97,Magic,Dennis Scott,3,F,6-8,235,"SEP 05, 1968",28.0,6,192
1996-97,Magic,Rony Seikaly,4,C,6-11,253,"MAY 10, 1965",32.0,8,938
1996-97,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",29.0,2,353
1996-97,Magic,Brian Shaw,20,G,6-6,200,"MAR 22, 1966",31.0,7,216
1996-97,Magic,Gerald Wilkins,21,G-F,6-6,225,"SEP 11, 1963",33.0,11,786
1996-97,Magic,Dan Schayes,24,C-F,6-11,260,"MAY 10, 1959",38.0,15,7
1996-97,Magic,Nick Anderson,25,G-F,6-6,228,"JAN 20, 1968",29.0,7,98
1996-97,Magic,Derek Strong,33,F,6-9,240,"FEB 09, 1968",29.0,5,400
1996-97,Magic,Brian Evans,34,F,6-8,220,"SEP 13, 1973",23.0,R,967
1996-97,Magic,Horace Grant,54,F-C,6-10,245,"JUL 04, 1965",31.0,9,270
1997-98,Magic,David Benoit,2,F,6-8,220,"MAY 09, 1968",30.0,5,128
1997-98,Magic,Kevin Ollie,3,G,6-4,195,"DEC 27, 1972",25.0,R,1563
1997-98,Magic,Mark Price,5,G,6-0,180,"FEB 15, 1964",34.0,11,899
1997-98,Magic,Jason Lawson,8,C,6-11,240,"SEP 02, 1974",23.0,R,1535
1997-98,Magic,Derek Harper,12,G,6-4,206,"OCT 13, 1961",36.0,14,157
1997-98,Magic,Johnny Taylor,17,F,6-9,220,"JUN 04, 1974",24.0,R,1511
1997-98,Magic,Gerald Wilkins,21,G-F,6-6,225,"SEP 11, 1963",34.0,12,786
1997-98,Magic,Dan Schayes,24,C,6-11,260,"MAY 10, 1959",39.0,16,7
1997-98,Magic,Nick Anderson,25,G-F,6-6,228,"JAN 20, 1968",30.0,8,98
1997-98,Magic,Derek Strong,33,F,6-9,240,"FEB 09, 1968",30.0,6,400
1997-98,Magic,Bo Outlaw,45,F-C,6-8,210,"APR 13, 1971",27.0,4,448
1997-98,Magic,Horace Grant,54,F,6-10,245,"JUL 04, 1965",32.0,10,270
1998-99,Magic,Anfernee Hardaway,1,G-F,6-7,215,"JUL 18, 1971",27.0,5,358
1998-99,Magic,B.J. Armstrong,2,G,6-2,185,"SEP 09, 1967",31.0,9,769
1998-99,Magic,Ike Austin,8,C,6-10,270,"AUG 18, 1969",29.0,5,1134
1998-99,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",31.0,4,353
1998-99,Magic,Matt Harpring,15,F,6-7,231,"MAY 31, 1976",23.0,R,1723
1998-99,Magic,Dominique Wilkins,21,F,6-8,230,"JAN 12, 1960",39.0,14,1122
1998-99,Magic,Dan Schayes,24,C,6-11,260,"MAY 10, 1959",40.0,17,7
1998-99,Magic,Nick Anderson,25,G-F,6-6,228,"JAN 20, 1968",31.0,9,98
1998-99,Magic,Derek Strong,33,F,6-9,240,"FEB 09, 1968",31.0,7,400
1998-99,Magic,Bo Outlaw,45,F-C,6-8,210,"APR 13, 1971",28.0,5,448
1998-99,Magic,Michael Doleac,51,C,6-11,262,"JUN 15, 1977",22.0,R,1720
1998-99,Magic,Horace Grant,54,F,6-10,245,"JUL 04, 1965",33.0,11,270
1999-00,Magic,Monty Williams,3,F,6-8,225,"OCT 08, 1971",28.0,5,42
1999-00,Magic,Ron Mercer,5,G,6-7,210,"MAY 18, 1976",24.0,2,1500
1999-00,Magic,Pat Garrity,8,F,6-9,238,"AUG 23, 1976",23.0,1,1727
1999-00,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",32.0,5,353
1999-00,Magic,John Amaechi,13,C-F,6-10,270,"NOV 26, 1970",29.0,1,680
1999-00,Magic,Johnny Taylor,23,F,6-9,220,"JUN 04, 1974",26.0,2,1511
1999-00,Magic,Anthony Johnson,24,G,6-3,190,"OCT 02, 1974",25.0,2,1533
1999-00,Magic,Chucky Atkins,31,G,5-11,160,"AUG 14, 1974",25.0,R,1088
1999-00,Magic,Derek Strong,33,F,6-9,240,"FEB 09, 1968",32.0,8,400
1999-00,Magic,Bo Outlaw,45,F,6-8,210,"APR 13, 1971",29.0,6,448
1999-00,Magic,Corey Maggette,50,G,6-6,218,"NOV 12, 1979",20.0,R,1894
1999-00,Magic,Michael Doleac,51,C,6-11,262,"JUN 15, 1977",23.0,1,1720
2000-01,Magic,Tracy McGrady,1,G-F,6-8,210,"MAY 24, 1979",22.0,3,1503
2000-01,Magic,Monty Williams,3,F,6-8,225,"OCT 08, 1971",29.0,6,42
2000-01,Magic,Dee Brown,7,G,6-2,205,"NOV 29, 1968",32.0,10,244
2000-01,Magic,Pat Garrity,8,F,6-9,238,"AUG 23, 1976",24.0,2,1727
2000-01,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",33.0,6,353
2000-01,Magic,Troy Hudson,11,G,6-1,170,"MAR 13, 1976",25.0,3,1607
2000-01,Magic,John Amaechi,13,F-C,6-10,270,"NOV 26, 1970",30.0,2,680
2000-01,Magic,Bo Outlaw,45,F-C,6-8,210,"APR 13, 1971",30.0,7,448
2000-01,Magic,Mike Miller,50,G-F,6-8,218,"FEB 19, 1980",21.0,R,2034
2000-01,Magic,Michael Doleac,51,C,6-11,262,"JUN 15, 1977",24.0,2,1720
2000-01,Magic,Don Reid,52,F,6-8,250,"DEC 30, 1973",27.0,5,690
2000-01,Magic,Andrew DeClercq,55,C-F,6-10,255,"FEB 01, 1973",28.0,5,692
2001-02,Magic,Tracy McGrady,1,G,6-8,210,"MAY 24, 1979",23.0,4,1503
2001-02,Magic,Jaren Jackson,2,G,6-6,225,"OCT 27, 1967",34.0,11,1114
2001-02,Magic,Monty Williams,3,F-G,6-8,225,"OCT 08, 1971",30.0,7,42
2001-02,Magic,Jeryl Sasser,5,G,6-6,200,"FEB 13, 1979",23.0,R,2219
2001-02,Magic,Patrick Ewing,6,C,7-0,255,"AUG 05, 1962",39.0,16,121
2001-02,Magic,Pat Garrity,8,F,6-9,238,"AUG 23, 1976",25.0,3,1727
2001-02,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",34.0,7,353
2001-02,Magic,Troy Hudson,11,G,6-1,170,"MAR 13, 1976",26.0,4,1607
2001-02,Magic,Jud Buechler,30,G-F,6-6,228,"JUN 19, 1968",34.0,11,146
2001-02,Magic,Steven Hunter,34,C-F,6-10,224,"OCT 31, 1981",20.0,R,2212
2001-02,Magic,Mike Miller,50,F-G,6-8,218,"FEB 19, 1980",22.0,1,2034
2001-02,Magic,Don Reid,52,C,6-8,250,"DEC 30, 1973",28.0,6,690
2001-02,Magic,Horace Grant,54,F,6-10,245,"JUL 04, 1965",36.0,14,270
2001-02,Magic,Andrew DeClercq,55,C,6-10,255,"FEB 01, 1973",29.0,6,692
2002-03,Magic,Olumide Oyedeji,00,C,6-10,240,"MAY 11, 1981",22.0,2,2071
2002-03,Magic,Tracy McGrady,1,G,6-8,210,"MAY 24, 1979",24.0,5,1503
2002-03,Magic,Ryan Humphrey,4,F,6-8,235,"JUL 24, 1979",23.0,R,2415
2002-03,Magic,Jeryl Sasser,5,G,6-6,200,"FEB 13, 1979",24.0,1,2219
2002-03,Magic,Pat Garrity,8,F,6-9,238,"AUG 23, 1976",26.0,4,1727
2002-03,Magic,Darrell Armstrong,10,G,6-1,180,"JUN 22, 1968",35.0,8,353
2002-03,Magic,Jacque Vaughn,11,G,6-1,190,"FEB 11, 1975",28.0,5,1521
2002-03,Magic,Omar Cook,20,G,6-1,190,"JAN 28, 1982",21.0,R,2241
2002-03,Magic,Pat Burke,31,F-C,6-11,250,"DEC 14, 1973",29.0,R,2469
