SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Mavericks,Scott Brooks,1,G,11-May,165,31-Jul-65,30,7,418
1995-96,Mavericks,Cherokee Parks,4,C,11-Jun,275,11-Oct-72,23,R,685
1995-96,Mavericks,Jason Kidd,5,G,4-Jun,208,23-Mar-73,23,1,467
1995-96,Mavericks,Tony Dumas,7,G,6-Jun,190,25-Aug-72,23,1,434
1995-96,Mavericks,David Wood,10,F,9-Jun,230,30-Nov-64,31,5,116
1995-96,Mavericks,George McCloud,21,F-G,8-Jun,225,27-May-67,29,5,45
1995-96,Mavericks,Jim Jackson,24,G,6-Jun,215,14-Oct-70,25,3,754
1995-96,Mavericks,Lucious Harris,30,G,5-Jun,205,18-Dec-70,25,2,446
1995-96,Mavericks,Jamal Mashburn,32,F,8-Jun,250,29-Nov-72,23,2,469
1995-96,Mavericks,Loren Meyer,40,C,10-Jun,260,30-Dec-72,23,R,684
1995-96,Mavericks,Terry Davis,43,F-C,10-Jun,250,17-Jun-67,29,6,426
1995-96,Mavericks,Lorenzo Williams,44,C-F,9-Jun,220,15-Jul-69,26,3,31
1995-96,Mavericks,Popeye Jones,54,F,8-Jun,265,17-Jun-70,26,2,461
1996-97,Mavericks,Stevin Smith,1,G,2-Jun,208,24-Jan-72,25,,1478
1996-97,Mavericks,Michael Finley,4,F-G,7-Jun,215,6-Mar-73,24,1,714
1996-97,Mavericks,Sasha Danilovic,5,G,6-Jun,200,26-Feb-70,27,1,390
1996-97,Mavericks,Khalid Reeves,6,G,3-Jun,201,15-Jul-72,24,2,234
1996-97,Mavericks,Derek Harper,12,G,4-Jun,206,13-Oct-61,35,13,157
1996-97,Mavericks,Martin Muursepp,13,F,9-Jun,235,26-Sep-74,22,R,982
1996-97,Mavericks,Robert Pack,14,G,2-Jun,190,3-Feb-69,28,5,123
1996-97,Mavericks,Erick Strickland,20,G,3-Jun,210,25-Nov-73,23,R,1065
1996-97,Mavericks,,31,F,8-Jun,222,,,1,77741
1996-97,Mavericks,Stacey King,33,F-C,11-Jun,250,29-Jan-67,30,6,351
1996-97,Mavericks,Shawn Bradley,44,C,6-Jul,248,22-Mar-72,25,3,762
1996-97,Mavericks,A.C. Green,45,F,9-Jun,225,4-Oct-63,33,11,920
1996-97,Mavericks,Greg Dreiling,50,C,1-Jul,265,7-Nov-63,33,9,1068
1997-98,Mavericks,Michael Finley,4,G-F,7-Jun,215,6-Mar-73,25,2,714
1997-98,Mavericks,Khalid Reeves,6,G,3-Jun,201,15-Jul-72,25,3,234
1997-98,Mavericks,Chris Anstey,11,C,Jul-00,249,1-Jan-75,23,R,1512
1997-98,Mavericks,Martin Muursepp,13,F,9-Jun,235,26-Sep-74,23,1,982
1997-98,Mavericks,Erick Strickland,20,G,3-Jun,210,25-Nov-73,24,1,1065
1997-98,Mavericks,Shawn Respert,21,G,2-Jun,195,6-Feb-72,26,2,704
1997-98,Mavericks,Cedric Ceballos,23,F,7-Jun,220,2-Aug-69,28,7,76
1997-98,Mavericks,Hubert Davis,24,G,5-Jun,183,17-May-70,28,5,93
1997-98,Mavericks,Bubba Wells,35,F,5-Jun,230,26-Jul-74,23,R,1528
1997-98,Mavericks,Shawn Bradley,44,C,6-Jul,248,22-Mar-72,26,4,762
1997-98,Mavericks,A.C. Green,45,F,9-Jun,225,4-Oct-63,34,12,920
1997-98,Mavericks,Eric Riley,50,C,Jul-00,245,2-Jun-70,28,2,35
1997-98,Mavericks,Samaki Walker,52,F,9-Jun,240,25-Feb-76,22,1,955
1998-99,Mavericks,Michael Finley,4,G-F,7-Jun,215,6-Mar-73,26,3,714
1998-99,Mavericks,Chris Anstey,11,C,Jul-00,249,1-Jan-75,24,1,1512
1998-99,Mavericks,Steve Nash,13,G,3-Jun,195,7-Feb-74,25,2,959
1998-99,Mavericks,Hot Rod Williams,18,C,11-Jun,245,9-Aug-62,36,12,73
1998-99,Mavericks,Erick Strickland,20,G,3-Jun,210,25-Nov-73,25,2,1065
1998-99,Mavericks,Hubert Davis,24,G,5-Jun,183,17-May-70,29,6,93
1998-99,Mavericks,Gary Trent,33,F,8-Jun,250,22-Sep-74,24,3,718
1998-99,Mavericks,Bruno Sundov,40,C,2-Jul,220,10-Feb-80,19,R,1743
1998-99,Mavericks,Dirk Nowitzki,41,F,Jul-00,237,19-Jun-78,21,R,1717
1998-99,Mavericks,Shawn Bradley,44,C,6-Jul,263,22-Mar-72,27,5,762
1998-99,Mavericks,A.C. Green,45,F,9-Jun,225,4-Oct-63,35,13,920
1998-99,Mavericks,Samaki Walker,52,F,9-Jun,258,25-Feb-76,23,2,955
1999-00,Mavericks,Michael Finley,4,G,7-Jun,215,6-Mar-73,27,4,714
1999-00,Mavericks,Damon Jones,11,G,3-Jun,185,25-Aug-76,23,1,1800
1999-00,Mavericks,Steve Nash,13,G,3-Jun,195,7-Feb-74,26,3,959
1999-00,Mavericks,Robert Pack,14,G,2-Jun,190,3-Feb-69,31,8,123
1999-00,Mavericks,Erick Strickland,20,G,3-Jun,210,25-Nov-73,26,3,1065
1999-00,Mavericks,Greg Buckner,21,G,4-Jun,210,16-Sep-76,23,R,1761
1999-00,Mavericks,Cedric Ceballos,23,F,7-Jun,220,2-Aug-69,30,9,76
1999-00,Mavericks,Hubert Davis,24,G,5-Jun,183,17-May-70,30,7,93
1999-00,Mavericks,Gary Trent,33,F,8-Jun,250,22-Sep-74,25,4,718
1999-00,Mavericks,Dirk Nowitzki,41,F-C,Jul-00,237,19-Jun-78,22,1,1717
1999-00,Mavericks,Shawn Bradley,44,C,6-Jul,263,22-Mar-72,28,6,762
1999-00,Mavericks,Sean Rooks,45,C,10-Jun,270,9-Sep-69,30,6,399
2000-01,Mavericks,Donnell Harvey,1,F,8-Jun,220,26-Aug-80,20,R,2051
2000-01,Mavericks,Mark Bryant,2,F-C,9-Jun,250,25-Apr-65,36,12,95
2000-01,Mavericks,Vernon Maxwell,3,G,4-Jun,190,12-Sep-65,35,12,137
2000-01,Mavericks,Michael Finley,4,F-G,7-Jun,215,6-Mar-73,28,5,714
2000-01,Mavericks,Juwan Howard,5,F,9-Jun,250,7-Feb-73,28,6,436
2000-01,Mavericks,Howard Eisley,9,G,2-Jun,180,4-Dec-72,28,6,458
2000-01,Mavericks,Steve Nash,13,G,3-Jun,195,7-Feb-74,27,4,959
2000-01,Mavericks,Eduardo Najera,14,F,8-Jun,234,11-Jul-76,24,R,2059
2000-01,Mavericks,Wang Zhi-zhi,16,C,1-Jul,220,8-Jul-77,23,R,1917
2000-01,Mavericks,Greg Buckner,21,G,4-Jun,210,16-Sep-76,24,1,1761
2000-01,Mavericks,Dirk Nowitzki,41,F,11-Jun,237,19-Jun-78,23,2,1717
2000-01,Mavericks,Shawn Bradley,44,C,6-Jul,265,22-Mar-72,29,7,762
2000-01,Mavericks,Calvin Booth,52,C,11-Jun,241,7-May-76,25,1,1916
2001-02,Mavericks,Johnny Newman,2,F,7-Jun,210,28-Nov-63,38,15,271
2001-02,Mavericks,Michael Finley,4,G-F,7-Jun,215,6-Mar-73,29,6,714
2001-02,Mavericks,Adrian Griffin,7,F-G,5-Jun,215,4-Jul-74,27,2,1559
2001-02,Mavericks,Steve Nash,13,G,3-Jun,195,7-Feb-74,28,5,959
2001-02,Mavericks,Eduardo Najera,14,F,8-Jun,234,11-Jul-76,25,1,2059
2001-02,Mavericks,Wang Zhi-zhi,16,C,1-Jul,220,8-Jul-77,24,1,1917
2001-02,Mavericks,Greg Buckner,21,F-G,4-Jun,210,16-Sep-76,25,2,1761
2001-02,Mavericks,Nick Van Exel,31,G,1-Jun,195,27-Nov-71,30,8,89
2001-02,Mavericks,Dirk Nowitzki,41,C-F,Jul-00,245,19-Jun-78,24,3,1717
2001-02,Mavericks,Evan Eschmeyer,42,C,11-Jun,255,30-May-75,27,2,1915
2001-02,Mavericks,Shawn Bradley,44,C,6-Jul,265,22-Mar-72,30,8,762
2001-02,Mavericks,Raef LaFrentz,45,C-F,11-Jun,245,29-May-76,26,3,1711
2002-03,Mavericks,Michael Finley,4,G-F,7-Jun,225,6-Mar-73,30,7,714
2002-03,Mavericks,Avery Johnson,6,G,11-May,180,25-Mar-65,38,14,422
2002-03,Mavericks,Adrian Griffin,7,F-G,5-Jun,230,4-Jul-74,28,3,1559
2002-03,Mavericks,Tariq Abdul-Wahad,9,F-G,6-Jun,225,3-Nov-74,28,5,1505
2002-03,Mavericks,Raja Bell,11,G,5-Jun,205,19-Sep-76,26,2,1952
2002-03,Mavericks,Steve Nash,13,G,3-Jun,195,7-Feb-74,29,6,959
2002-03,Mavericks,Eduardo Najera,14,F,8-Jun,235,11-Jul-76,26,2,2059
2002-03,Mavericks,Adam Harrington,21,G,5-Jun,200,5-Jul-80,22,R,2492
2002-03,Mavericks,Nick Van Exel,31,G,1-Jun,195,27-Nov-71,31,9,89
2002-03,Mavericks,Dirk Nowitzki,41,C-F,Jul-00,245,19-Jun-78,25,4,1717
2002-03,Mavericks,Evan Eschmeyer,42,C,11-Jun,255,30-May-75,28,3,1915
2002-03,Mavericks,Shawn Bradley,44,C,6-Jul,275,22-Mar-72,31,9,762
2002-03,Mavericks,Raef LaFrentz,45,C-F,11-Jun,245,29-May-76,27,4,1711
2002-03,Mavericks,Popeye Jones,54,F,8-Jun,250,17-Jun-70,33,9,461
2002-03,Mavericks,Derek Hood,55,F,8-Jun,222,22-Dec-76,26,1,1967
2003-04,Mavericks,Travis Best,3,G,11-May,185,12-Jul-72,31,8,696
2003-04,Mavericks,Michael Finley,4,G-F,7-Jun,225,6-Mar-73,31,8,714
2003-04,Mavericks,Josh Howard,5,F,7-Jun,210,28-Apr-80,24,R,2572
2003-04,Mavericks,Marquis Daniels,6,G,6-Jun,200,7-Jan-81,23,R,2605
2003-04,Mavericks,Tony Delk,7,G,2-Jun,189,28-Jan-74,30,7,960
2003-04,Mavericks,Antoine Walker,8,F,9-Jun,245,12-Aug-76,27,7,952
2003-04,Mavericks,Tariq Abdul-Wahad,9,F-G,6-Jun,235,3-Nov-74,29,6,1505
2003-04,Mavericks,Steve Nash,13,G,3-Jun,195,7-Feb-74,30,7,959
2003-04,Mavericks,Eduardo Najera,14,C,8-Jun,235,11-Jul-76,27,3,2059
