SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Nets,Chris Childs,1,G,6-3,195,"NOV 20, 1967",28.0,1,164
1995-96,Nets,Rick Mahorn,4,F-C,6-10,260,"SEP 21, 1958",37.0,14,328
1995-96,Nets,Khalid Reeves,6,G,6-3,199,"JUL 15, 1972",23.0,1,234
1995-96,Nets,Vern Fleming,10,G,6-5,185,"FEB 04, 1962",34.0,11,313
1995-96,Nets,Greg Graham,20,G,6-4,182,"NOV 26, 1970",25.0,2,37
1995-96,Nets,Kevin Edwards,21,G,6-3,190,"OCT 30, 1965",30.0,7,236
1995-96,Nets,Ed O'Bannon,31,G,6-8,222,"AUG 14, 1972",23.0,,709
1995-96,Nets,,31,F,6-8,222,,,R,77741
1995-96,Nets,Yinka Dare,33,C,7-0,265,"OCT 10, 1972",23.0,1,212
1995-96,Nets,,41,C,6-11,250,,,1,78493
1995-96,Nets,Robert Werdann,41,C,6-11,250,"SEP 12, 1970",25.0,,438
1995-96,Nets,P.J. Brown,42,F-C,6-11,240,"OCT 14, 1969",26.0,2,136
1995-96,Nets,Armen Gilliam,43,F,6-9,250,"MAY 28, 1964",32.0,8,288
1995-96,Nets,Shawn Bradley,45,C,7-6,248,"MAR 22, 1972",24.0,2,762
1995-96,Nets,Jayson Williams,55,C-F,6-10,245,"FEB 22, 1968",28.0,5,420
1996-97,Nets,Eric Montross,00,C,7-0,270,"SEP 23, 1971",25.0,2,376
1996-97,Nets,Sam Cassell,10,G,6-3,185,"NOV 18, 1969",27.0,3,208
1996-97,Nets,Kendall Gill,13,F-G,6-5,216,"MAY 25, 1968",29.0,6,383
1996-97,Nets,Chris Gatling,15,C,6-10,230,"SEP 03, 1967",29.0,5,423
1996-97,Nets,Kevin Edwards,21,G,6-3,210,"OCT 30, 1965",31.0,8,236
1996-97,Nets,Jim Jackson,22,G,6-6,215,"OCT 14, 1970",26.0,4,754
1996-97,Nets,Kerry Kittles,30,G,6-5,179,"JUN 12, 1974",23.0,R,954
1996-97,Nets,Yinka Dare,33,C-F,7-0,265,"OCT 10, 1972",24.0,2,212
1996-97,Nets,Xavier McDaniel,34,F,6-7,218,"JUN 04, 1963",34.0,10,1365
1996-97,Nets,Joe Kleine,35,C,7-0,271,"JAN 04, 1962",35.0,11,170
1996-97,Nets,Robert Werdann,41,C,6-11,250,"SEP 12, 1970",26.0,,438
1996-97,Nets,Tony Massenburg,44,F,6-9,250,"JUL 31, 1967",29.0,4,763
1996-97,Nets,Jack Haley,54,C,6-10,242,"JAN 27, 1964",33.0,7,917
1997-98,Nets,Rony Seikaly,2,C,6-11,253,"MAY 10, 1965",33.0,9,938
1997-98,Nets,Sam Cassell,10,G,6-3,185,"NOV 18, 1969",28.0,4,208
1997-98,Nets,Brian Evans,11,F,6-8,220,"SEP 13, 1973",24.0,1,967
1997-98,Nets,Lucious Harris,12,G,6-5,205,"DEC 18, 1970",27.0,4,446
1997-98,Nets,Kendall Gill,13,F-G,6-5,216,"MAY 25, 1968",30.0,7,383
1997-98,Nets,Chris Gatling,15,F-C,6-10,230,"SEP 03, 1967",30.0,6,423
1997-98,Nets,Sherman Douglas,20,G,6-1,195,"SEP 15, 1966",31.0,7,428
1997-98,Nets,Kerry Kittles,30,G,6-5,179,"JUN 12, 1974",24.0,1,954
1997-98,Nets,David Vaughn,42,F,6-9,240,"MAR 23, 1973",25.0,2,710
1997-98,Nets,Keith Van Horn,44,F,6-10,220,"OCT 23, 1975",22.0,R,1496
1997-98,Nets,Michael Cage,45,F-C,6-9,248,"JAN 28, 1962",36.0,13,262
1997-98,Nets,Jayson Williams,55,C-F,6-10,245,"FEB 22, 1968",30.0,7,420
1998-99,Nets,Elliot Perry,1,G,6-0,152,"MAR 28, 1969",30.0,6,386
1998-99,Nets,Rony Seikaly,2,C,6-11,253,"MAY 10, 1965",34.0,10,938
1998-99,Nets,Lucious Harris,12,G,6-5,205,"DEC 18, 1970",28.0,5,446
1998-99,Nets,Kendall Gill,13,F-G,6-5,216,"MAY 25, 1968",31.0,8,383
1998-99,Nets,Jamie Feick,14,F,6-8,255,"JUL 03, 1974",24.0,2,994
1998-99,Nets,Scott Burrell,24,F,6-7,218,"JAN 12, 1971",28.0,5,197
1998-99,Nets,Kerry Kittles,30,G,6-5,179,"JUN 12, 1974",25.0,2,954
1998-99,Nets,Stephon Marbury,33,G,6-2,180,"FEB 20, 1977",22.0,2,950
1998-99,Nets,Mark Hendrickson,42,F,6-9,220,"JUN 23, 1974",25.0,2,971
1998-99,Nets,Chris Carr,43,G,6-6,220,"MAR 12, 1974",25.0,3,713
1998-99,Nets,Keith Van Horn,44,F,6-10,250,"OCT 23, 1975",23.0,1,1496
1998-99,Nets,William Cunningham,51,C,6-11,240,"MAR 25, 1974",25.0,1,1061
1998-99,Nets,Gheorghe Muresan,77,C,7-7,303,"FEB 14, 1971",28.0,4,49
1999-00,Nets,Evan Eschmeyer,00,C,6-11,255,"MAY 30, 1975",25.0,R,1915
1999-00,Nets,Elliot Perry,1,G,6-0,152,"MAR 28, 1969",31.0,8,386
1999-00,Nets,Sherman Douglas,11,G,6-1,195,"SEP 15, 1966",33.0,10,428
1999-00,Nets,Lucious Harris,12,G,6-5,205,"DEC 18, 1970",29.0,6,446
1999-00,Nets,Kendall Gill,13,G,6-5,216,"MAY 25, 1968",32.0,9,383
1999-00,Nets,Jamie Feick,14,C-F,6-8,255,"JUL 03, 1974",25.0,3,994
1999-00,Nets,Johnny Newman,20,F,6-7,210,"NOV 28, 1963",36.0,12,271
1999-00,Nets,Jim McIlvaine,22,C,7-1,264,"JUL 30, 1972",27.0,5,29
1999-00,Nets,Scott Burrell,24,F-G,6-7,218,"JAN 12, 1971",29.0,6,197
1999-00,Nets,Stephon Marbury,33,G,6-2,180,"FEB 20, 1977",23.0,3,950
1999-00,Nets,Keith Van Horn,44,F,6-10,250,"OCT 23, 1975",24.0,2,1496
1999-00,Nets,Gheorghe Muresan,77,C,7-7,303,"FEB 14, 1971",29.0,6,49
2000-01,Nets,Doug Overton,2,G,6-3,190,"AUG 03, 1969",31.0,8,77
2000-01,Nets,Jamel Thomas,5,F,6-6,219,"JUL 19, 1976",24.0,1,1975
