SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Nuggets,Mahmoud Abdul-Rauf,1,G,6-1,162,"MAR 09, 1969",27.0,5,51
1995-96,Nuggets,Dale Ellis,3,F-G,6-7,215,"AUG 06, 1960",35.0,12,107
1995-96,Nuggets,Jalen Rose,5,G,6-8,210,"JAN 30, 1973",23.0,1,147
1995-96,Nuggets,Don MacLean,7,F,6-10,225,"JAN 16, 1970",26.0,3,931
1995-96,Nuggets,Rastko Cvetkovic,8,C,7-1,260,"JUN 22, 1970",26.0,R,687
1995-96,Nuggets,Greg Grant,9,G,5-7,140,"AUG 29, 1966",29.0,5,285
1995-96,Nuggets,Randy Woods,10,G,5-10,185,"SEP 23, 1970",25.0,3,1010
1995-96,Nuggets,Doug Overton,11,G,6-3,190,"AUG 03, 1969",26.0,3,77
1995-96,Nuggets,LaPhonso Ellis,20,F,6-8,240,"MAY 05, 1970",26.0,3,111
1995-96,Nuggets,Tom Hammonds,21,F,6-9,225,"MAR 27, 1967",29.0,6,67
1995-96,Nuggets,Bryant Stith,23,G,6-5,208,"DEC 10, 1970",25.0,3,179
1995-96,Nuggets,Antonio McDyess,24,F,6-9,220,"SEP 07, 1974",21.0,R,686
1995-96,Nuggets,Reggie Williams,34,F-G,6-7,195,"MAR 05, 1964",32.0,8,199
1995-96,Nuggets,Matt Fish,50,C,6-11,265,"NOV 18, 1969",26.0,1,900
1995-96,Nuggets,Dikembe Mutombo,55,C,7-2,250,"JUN 25, 1966",30.0,4,87
1996-97,Nuggets,Dale Ellis,3,F-G,6-7,215,"AUG 06, 1960",36.0,13,107
1996-97,Nuggets,Anthony Goldwire,5,G,6-2,182,"SEP 06, 1971",25.0,1,924
1996-97,Nuggets,Brooks Thompson,6,G,6-4,193,"JUL 19, 1970",26.0,2,240
1996-97,Nuggets,Jimmy King,13,G,6-5,210,"AUG 09, 1973",23.0,1,728
1996-97,Nuggets,Tom Hammonds,21,F,6-9,225,"MAR 27, 1967",30.0,7,67
1996-97,Nuggets,Vincent Askew,22,F,6-6,235,"FEB 28, 1966",31.0,7,355
1996-97,Nuggets,Bryant Stith,23,G,6-5,208,"DEC 10, 1970",26.0,4,179
1996-97,Nuggets,Antonio McDyess,24,F-C,6-9,220,"SEP 07, 1974",22.0,1,686
1996-97,Nuggets,George Zidek,25,C,7-0,264,"AUG 02, 1973",23.0,1,678
1996-97,Nuggets,Kenny Smith,30,G,6-3,170,"MAR 08, 1965",32.0,9,181
1996-97,Nuggets,Ervin Johnson,50,C,6-11,245,"DEC 21, 1967",29.0,3,911
1996-97,Nuggets,Jerome Allen,53,G,6-4,184,"JAN 28, 1973",24.0,1,706
1997-98,Nuggets,Harold Ellis,3,F-G,6-5,220,"OCT 07, 1970",27.0,2,1677
1997-98,Nuggets,Tony Battie,4,F-C,6-11,240,"FEB 11, 1976",22.0,R,1499
1997-98,Nuggets,Anthony Goldwire,5,G,6-2,182,"SEP 06, 1971",26.0,2,924
1997-98,Nuggets,Cory Alexander,7,G,6-1,190,"JUN 22, 1973",25.0,2,724
