SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
2004-05,Pelicans,Dan Dickau,2,G,Jun-00,190,16-Sep-78,26,2,2424
2004-05,Pelicans,Jackson Vroman,4,F-C,10-Jun,220,6-Jun-81,24,R,2761
2004-05,Pelicans,George Lynch,9,F,8-Jun,235,3-Sep-70,34,11,248
2004-05,Pelicans,Bostjan Nachbar,10,F,9-Jun,221,3-Jul-80,24,2,2411
2004-05,Pelicans,Chris Andersen,12,F-C,10-Jun,228,7-Jul-78,26,3,2365
2004-05,Pelicans,Maciej Lampe,15,F,11-Jun,275,5-Feb-85,20,1,2573
2004-05,Pelicans,Jamaal Magloire,21,C,11-Jun,259,21-May-78,27,4,2048
2004-05,Pelicans,J.R. Smith,23,G,6-Jun,220,9-Sep-85,19,R,2747
2004-05,Pelicans,David West,30,F,8-Jun,226,29-Aug-80,24,1,2561
2004-05,Pelicans,Casey Jacobsen,32,G-F,6-Jun,215,19-Mar-81,24,2,2418
2004-05,Pelicans,Lee Nailon,33,F,9-Jun,238,22-Feb-75,30,4,1924
2004-05,Pelicans,P.J. Brown,42,C-F,11-Jun,239,14-Oct-69,35,11,136
2005-06,Pelicans,Kirk Snyder,1,G,6-Jun,225,5-Jun-83,23,1,2745
2005-06,Pelicans,Chris Paul,3,G,Jun-00,175,6-May-85,21,R,101108
2005-06,Pelicans,Speedy Claxton,5,G,11-May,170,8-May-78,28,4,2049
2005-06,Pelicans,Arvydas Macijauskas,6,G,4-Jun,214,19-Jan-80,26,R,101178
2005-06,Pelicans,Marcus Fizer,21,F,8-Jun,260,10-Aug-78,27,5,2033
2005-06,Pelicans,J.R. Smith,23,G,6-Jun,220,9-Sep-85,20,1,2747
2005-06,Pelicans,Desmond Mason,24,F,5-Jun,222,11-Oct-77,28,5,2046
2005-06,Pelicans,Moochie Norris,25,G,1-Jun,185,27-Jul-73,32,8,983
2005-06,Pelicans,David West,30,F,9-Jun,240,29-Aug-80,25,2,2561
2005-06,Pelicans,Brandon Bass,33,F,8-Jun,240,30-Apr-85,21,R,101138
2005-06,Pelicans,Aaron Williams,34,C-F,9-Jun,235,2-Oct-71,34,11,1425
2005-06,Pelicans,P.J. Brown,42,C,11-Jun,239,14-Oct-69,36,12,136
2005-06,Pelicans,Linton Johnson,43,F,8-Jun,225,13-Jun-80,26,2,2669
2005-06,Pelicans,Marc Jackson,44,C-F,10-Jun,253,16-Jan-75,31,5,1531
2005-06,Pelicans,Rasual Butler,45,F,7-Jun,205,23-May-79,27,3,2446
2006-07,Pelicans,Jannero Pargo,2,G,1-Jun,175,22-Oct-79,27,4,2457
2006-07,Pelicans,Chris Paul,3,G,Jun-00,175,6-May-85,22,1,101108
2006-07,Pelicans,Tyson Chandler,6,C,1-Jul,235,2-Oct-82,24,5,2199
2006-07,Pelicans,Bobby Jackson,8,G,1-Jun,185,13-Mar-73,34,9,1517
2006-07,Pelicans,Marcus Vinicius,11,F,8-Jun,225,31-May-84,23,R,200790
2006-07,Pelicans,Hilton Armstrong,12,F-C,11-Jun,235,23-Nov-84,22,R,200756
2006-07,Pelicans,Peja Stojakovic,16,G-F,10-Jun,229,9-Jun-77,30,8,978
2006-07,Pelicans,Cedric Simmons,22,F,9-Jun,235,3-Jan-86,21,R,200759
2006-07,Pelicans,Devin Brown,23,G,5-Jun,220,30-Dec-78,28,4,2484
2006-07,Pelicans,Desmond Mason,24,F-G,5-Jun,222,11-Oct-77,29,6,2046
2006-07,Pelicans,David West,30,F,9-Jun,240,29-Aug-80,26,3,2561
2006-07,Pelicans,Brandon Bass,33,F,8-Jun,240,30-Apr-85,22,1,101138
2006-07,Pelicans,Linton Johnson,43,F,8-Jun,205,13-Jun-80,27,3,2669
2006-07,Pelicans,Marc Jackson,44,F,10-Jun,253,16-Jan-75,32,6,1531
2006-07,Pelicans,Rasual Butler,45,G,7-Jun,205,23-May-79,28,4,2446
2007-08,Pelicans,Chris Andersen,1,F-C,10-Jun,228,7-Jul-78,29,5,2365
2007-08,Pelicans,Jannero Pargo,2,G,1-Jun,175,22-Oct-79,28,5,2457
2007-08,Pelicans,Chris Paul,3,G,Jun-00,175,6-May-85,23,2,101108
2007-08,Pelicans,Mike James,5,G,2-Jun,188,23-Jun-75,33,6,2229
2007-08,Pelicans,Tyson Chandler,6,C,1-Jul,235,2-Oct-82,25,6,2199
2007-08,Pelicans,Morris Peterson,9,G,7-Jun,220,26-Aug-77,30,7,2050
2007-08,Pelicans,Hilton Armstrong,12,C-F,11-Jun,235,23-Nov-84,23,1,200756
2007-08,Pelicans,Peja Stojakovic,16,F,10-Jun,229,9-Jun-77,31,9,978
2007-08,Pelicans,Bonzi Wells,24,G-F,5-Jun,210,28-Sep-76,31,9,1719
2007-08,Pelicans,David West,30,F,9-Jun,240,29-Aug-80,27,4,2561
2007-08,Pelicans,Julian Wright,32,F,8-Jun,225,20-May-87,21,R,201153
2007-08,Pelicans,Melvin Ely,33,C-F,10-Jun,261,2-May-78,30,5,2408
2007-08,Pelicans,Ryan Bowen,40,F,9-Jun,218,20-Nov-75,32,7,1763
2007-08,Pelicans,Rasual Butler,45,F-G,7-Jun,205,23-May-79,29,5,2446
2008-09,Pelicans,Chris Paul,3,G,Jun-00,175,6-May-85,24,3,101108
2008-09,Pelicans,Sean Marks,4,F-C,10-Jun,250,23-Aug-75,33,8,1752
2008-09,Pelicans,Tyson Chandler,6,C,1-Jul,235,2-Oct-82,26,7,2199
2008-09,Pelicans,Morris Peterson,9,G,7-Jun,220,26-Aug-77,31,8,2050
2008-09,Pelicans,Hilton Armstrong,12,C-F,11-Jun,235,23-Nov-84,24,2,200756
2008-09,Pelicans,Peja Stojakovic,16,F,10-Jun,229,9-Jun-77,32,10,978
2008-09,Pelicans,Devin Brown,23,G,5-Jun,210,30-Dec-78,30,6,2484
2008-09,Pelicans,David West,30,F,9-Jun,240,29-Aug-80,28,5,2561
2008-09,Pelicans,Julian Wright,32,F,8-Jun,225,20-May-87,22,1,201153
2008-09,Pelicans,Melvin Ely,33,C-F,10-Jun,261,2-May-78,31,6,2408
2008-09,Pelicans,Ryan Bowen,40,F,9-Jun,218,20-Nov-75,33,8,1763
2008-09,Pelicans,James Posey,41,F,8-Jun,217,13-Jan-77,32,9,1899
2008-09,Pelicans,Rasual Butler,45,G-F,7-Jun,205,23-May-79,30,6,2446
2008-09,Pelicans,Antonio Daniels,50,G,4-Jun,205,19-Mar-75,34,11,1498
2009-10,Pelicans,Darren Collison,2,G,Jun-00,160,23-Aug-87,22,R,201954
2009-10,Pelicans,Chris Paul,3,G,Jun-00,175,6-May-85,25,4,101108
2009-10,Pelicans,Sean Marks,4,F-C,10-Jun,250,23-Aug-75,34,9,1752
2009-10,Pelicans,Marcus Thornton,5,G,4-Jun,205,5-Jun-87,23,R,201977
2009-10,Pelicans,Darius Songaila,9,F,9-Jun,248,14-Feb-78,32,6,2443
2009-10,Pelicans,Peja Stojakovic,16,F,10-Jun,229,9-Jun-77,33,11,978
2009-10,Pelicans,Morris Peterson,24,G,7-Jun,220,26-Aug-77,32,9,2050
2009-10,Pelicans,David West,30,F,9-Jun,240,29-Aug-80,29,6,2561
2009-10,Pelicans,Julian Wright,32,F,8-Jun,225,20-May-87,23,2,201153
2009-10,Pelicans,Aaron Gray,34,C,Jul-00,270,7-Dec-84,25,2,201189
2009-10,Pelicans,James Posey,41,F,8-Jun,217,13-Jan-77,33,10,1899
2009-10,Pelicans,Emeka Okafor,50,C,10-Jun,255,28-Sep-82,27,5,2731
2010-11,Pelicans,Trevor Ariza,1,F,8-Jun,210,30-Jun-85,25,6,2772
2010-11,Pelicans,Jarrett Jack,2,G,3-Jun,197,28-Oct-83,27,5,101127
2010-11,Pelicans,Chris Paul,3,G,Jun-00,175,6-May-85,26,5,101108
2010-11,Pelicans,Marco Belinelli,8,G,5-Jun,200,25-Mar-86,25,3,201158
2010-11,Pelicans,David Andersen,11,C,11-Jun,247,23-Jun-80,31,1,2431
2010-11,Pelicans,Jason Smith,14,C-F,Jul-00,240,2-Mar-86,25,2,201160
2010-11,Pelicans,Marcus Banks,15,G,2-Jun,205,19-Nov-81,29,7,2556
2010-11,Pelicans,Quincy Pondexter,20,F,6-Jun,225,10-Mar-88,23,R,202347
2010-11,Pelicans,Patrick Ewing Jr.,22,F,8-Jun,235,20-May-84,27,R,201607
2010-11,Pelicans,Carl Landry,24,F,9-Jun,248,19-Sep-83,27,3,201171
2010-11,Pelicans,DJ Mbenga,28,C,Jul-00,255,30-Dec-80,30,6,2788
2010-11,Pelicans,David West,30,F,9-Jun,240,29-Aug-80,30,7,2561
2010-11,Pelicans,Willie Green,33,G,3-Jun,201,28-Jul-81,29,7,2584
2010-11,Pelicans,Aaron Gray,34,C,Jul-00,270,7-Dec-84,26,3,201189
2010-11,Pelicans,Emeka Okafor,50,C,10-Jun,255,28-Sep-82,28,6,2731
2011-12,Pelicans,Al-Farouq Aminu,0,F,9-Jun,215,21-Sep-90,21,1,202329
2011-12,Pelicans,Trevor Ariza,1,F,8-Jun,210,30-Jun-85,27,7,2772
2011-12,Pelicans,Jarrett Jack,2,G,3-Jun,197,28-Oct-83,28,6,101127
2011-12,Pelicans,Xavier Henry,4,G,6-Jun,220,15-Mar-91,21,1,202333
2011-12,Pelicans,Marco Belinelli,8,G,5-Jun,195,25-Mar-86,26,4,201158
2011-12,Pelicans,Eric Gordon,10,G,3-Jun,215,25-Dec-88,23,3,201569
2011-12,Pelicans,Jerome Dyson,11,G,3-Jun,180,1-May-87,25,R,202406
2011-12,Pelicans,Jason Smith,14,F-C,Jul-00,240,2-Mar-86,26,3,201160
2011-12,Pelicans,Gustavo Ayon,15,F-C,10-Jun,250,1-Apr-85,27,R,202970
2011-12,Pelicans,Greivis Vasquez,21,G,6-Jun,211,16-Jan-87,25,1,202349
2011-12,Pelicans,Carl Landry,24,F,9-Jun,248,19-Sep-83,28,4,201171
2011-12,Pelicans,Darryl Watkins,31,C,11-Jun,258,8-Nov-84,27,1,201208
2011-12,Pelicans,Chris Kaman,35,C-F,Jul-00,265,28-Apr-82,30,8,2549
2011-12,Pelicans,Lance Thomas,42,F,8-Jun,225,24-Apr-88,24,R,202498
2011-12,Pelicans,Emeka Okafor,50,C,10-Jun,255,28-Sep-82,29,7,2731
2012-13,Pelicans,Al-Farouq Aminu,0,F,9-Jun,215,21-Sep-90,22,2,202329
2012-13,Pelicans,Darius Miller,2,F,8-Jun,235,21-Mar-90,23,R,203121
2012-13,Pelicans,Xavier Henry,4,G,6-Jun,220,15-Mar-91,22,2,202333
2012-13,Pelicans,Roger Mason Jr.,8,G,5-Jun,205,10-Sep-80,32,9,2427
2012-13,Pelicans,Eric Gordon,10,G,3-Jun,215,25-Dec-88,24,4,201569
2012-13,Pelicans,Terrel Harris,12,G,4-Jun,190,10-Aug-87,25,1,202227
2012-13,Pelicans,Jason Smith,14,F-C,Jul-00,240,2-Mar-86,27,4,201160
2012-13,Pelicans,Robin Lopez,15,C,Jul-00,255,1-Apr-88,25,4,201577
2012-13,Pelicans,Lou Amundson,17,F,9-Jun,225,7-Dec-82,30,6,200811
2012-13,Pelicans,Greivis Vasquez,21,G,6-Jun,211,16-Jan-87,26,2,202349
