SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Pistons,Lindsey Hunter,1,G,2-Jun,195,3-Dec-70,25,2,283
1995-96,Pistons,Mark Macon,2,G,4-Jun,185,14-Apr-69,27,4,1855
1995-96,Pistons,Lou Roe,3,F,7-Jun,220,14-Jul-72,23,R,691
1995-96,Pistons,Joe Dumars,4,G,3-Jun,195,24-May-63,33,10,247
1995-96,Pistons,Terry Mills,6,C-F,10-Jun,250,21-Dec-67,28,5,371
1995-96,Pistons,Michael Curry,12,F,5-Jun,210,22-Aug-68,27,1,688
1995-96,Pistons,Allan Houston,20,G,6-Jun,200,20-Apr-71,25,2,275
1995-96,Pistons,Stephen Bardo,25,G,5-Jun,190,5-Apr-68,28,2,76097
1995-96,Pistons,Grant Hill,33,F,8-Jun,225,5-Oct-72,23,1,255
1995-96,Pistons,Mark West,41,C,10-Jun,246,5-Nov-60,35,12,770
1995-96,Pistons,Theo Ratliff,42,F-C,10-Jun,225,17-Apr-73,23,R,689
1995-96,Pistons,Eric Leckner,45,C,11-Jun,265,27-May-66,30,6,287
1995-96,Pistons,Otis Thorpe,50,F,10-Jun,246,5-Aug-62,33,11,901
1995-96,Pistons,Don Reid,52,C-F,8-Jun,250,30-Dec-73,22,R,690
1996-97,Pistons,Lindsey Hunter,1,G,2-Jun,195,3-Dec-70,26,3,283
1996-97,Pistons,Joe Dumars,4,G,3-Jun,195,24-May-63,34,11,247
1996-97,Pistons,Terry Mills,6,C-F,10-Jun,250,21-Dec-67,29,6,371
1996-97,Pistons,Michael Curry,12,G-F,5-Jun,210,22-Aug-68,28,2,688
1996-97,Pistons,Jerome Williams,13,F,9-Jun,206,10-May-73,24,R,966
1996-97,Pistons,Aaron McKie,23,G,5-Jun,209,2-Oct-72,24,2,243
1996-97,Pistons,Grant Hill,33,F-G,8-Jun,225,5-Oct-72,24,2,255
1996-97,Pistons,Theo Ratliff,42,C-F,10-Jun,225,17-Apr-73,24,1,689
1996-97,Pistons,Grant Long,43,F,9-Jun,248,12-Mar-66,31,8,3
