SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Rapters,Dan O'Sullivan,,,6-10,250,"MAR 03, 1968",28.0,3,77776
1995-96,Rapters,Zan Tabak,3,C,7-0,245,"JUN 15, 1970",26.0,1,440
1995-96,Rapters,Vincenzo Esposito,4,G,6-3,198,"MAR 01, 1969",27.0,R,76683
1995-96,Rapters,Alvin Robertson,7,G,6-4,208,"JUL 22, 1962",33.0,9,926
1995-96,Rapters,Doug Christie,13,G-F,6-6,205,"MAY 09, 1970",26.0,3,57
1995-96,Rapters,Damon Stoudamire,20,G,5-10,171,"SEP 03, 1973",22.0,R,757
1995-96,Rapters,Dwayne Whitfield,23,F,6-7,240,"AUG 21, 1972",23.0,R,730
1995-96,Rapters,Jimmy King,24,G,6-5,210,"AUG 09, 1973",22.0,R,728
1995-96,Rapters,Oliver Miller,30,C,6-9,280,"APR 06, 1970",26.0,3,932
1995-96,Rapters,Martin Lewis,32,G,6-6,225,"APR 28, 1975",21.0,R,729
1995-96,Rapters,Carlos Rogers,34,F-C,6-11,220,"FEB 06, 1971",25.0,1,435
1995-96,Rapters,Tracy Murray,35,F,6-7,228,"JUL 25, 1971",24.0,3,145
1995-96,Rapters,Acie Earl,55,C,6-11,240,"JUN 23, 1970",26.0,2,768
1996-97,Rapters,Sharone Wright,4,C,6-11,260,"JAN 30, 1973",24.0,2,412
1996-97,Rapters,Clifford Rozier,7,C-F,6-11,230,"OCT 31, 1972",24.0,2,32
1996-97,Rapters,Doug Christie,13,G-F,6-6,205,"MAY 09, 1970",27.0,4,57
1996-97,Rapters,Damon Stoudamire,20,G,5-10,171,"SEP 03, 1973",23.0,1,757
1996-97,Rapters,Marcus Camby,21,F-C,6-11,220,"MAR 22, 1974",23.0,R,948
1996-97,Rapters,Reggie Slater,24,F,6-7,215,"AUG 27, 1970",26.0,2,1073
1996-97,Rapters,John Long,25,G,6-5,200,"AUG 28, 1956",40.0,13,1381
1996-97,Rapters,Shawn Respert,31,G,6-2,185,"FEB 06, 1972",25.0,1,704
1996-97,Rapters,Martin Lewis,32,F,6-6,225,"APR 28, 1975",22.0,1,729
1996-97,Rapters,Carlos Rogers,34,F,6-11,220,"FEB 06, 1971",26.0,2,435
1996-97,Rapters,Walt Williams,42,F-G,6-8,230,"APR 16, 1970",27.0,4,1005
1996-97,Rapters,Popeye Jones,54,F,6-8,250,"JUN 17, 1970",27.0,3,461
1997-98,Rapters,Chris Garner,00,G,5-10,156,"FEB 23, 1975",23.0,R,1612
1997-98,Rapters,Tracy McGrady,1,F-G,6-8,210,"MAY 24, 1979",19.0,R,1503
1997-98,Rapters,Oliver Miller,2,F-C,6-9,325,"APR 06, 1970",28.0,5,932
1997-98,Rapters,Chauncey Billups,3,G,6-3,202,"SEP 25, 1976",21.0,R,1497
1997-98,Rapters,Dee Brown,7,G,6-2,185,"NOV 29, 1968",29.0,7,244
1997-98,Rapters,John Thomas,12,F,6-9,265,"SEP 08, 1975",22.0,R,1519
1997-98,Rapters,Doug Christie,13,G-F,6-6,205,"MAY 09, 1970",28.0,5,57
1997-98,Rapters,Marcus Camby,21,F-C,6-11,220,"MAR 22, 1974",24.0,1,948
1997-98,Rapters,Alvin Williams,22,G,6-5,185,"AUG 06, 1974",23.0,R,1541
1997-98,Rapters,Gary Trent,33,F,6-8,250,"SEP 22, 1974",23.0,2,718
1997-98,Rapters,Reggie Slater,35,F,6-7,255,"AUG 27, 1970",27.0,3,1073
1997-98,Rapters,John Wallace,44,F,6-9,225,"FEB 09, 1974",24.0,1,961
1998-99,Rapters,Tracy McGrady,1,F-G,6-8,210,"MAY 24, 1979",20.0,1,1503
1998-99,Rapters,Michael Stewart,4,C,6-10,230,"APR 25, 1975",24.0,1,1565
1998-99,Rapters,Dee Brown,7,G,6-2,185,"NOV 29, 1968",30.0,8,244
1998-99,Rapters,John Thomas,12,F,6-9,265,"SEP 08, 1975",23.0,1,1519
1998-99,Rapters,Doug Christie,13,G-F,6-6,205,"MAY 09, 1970",29.0,6,57
1998-99,Rapters,Vince Carter,15,F-G,6-7,215,"JAN 26, 1977",22.0,R,1713
1998-99,Rapters,Alvin Williams,20,G,6-5,185,"AUG 06, 1974",24.0,1,1541
1998-99,Rapters,Charles Oakley,34,F,6-9,245,"DEC 18, 1963",35.0,13,891
1998-99,Rapters,Reggie Slater,35,F,6-7,255,"AUG 27, 1970",28.0,4,1073
1998-99,Rapters,Kevin Willis,42,C-F,7-0,245,"SEP 06, 1962",36.0,14,788
1998-99,Rapters,John Wallace,44,F,6-9,225,"FEB 09, 1974",25.0,2,961
1999-00,Rapters,Tracy McGrady,1,F,6-8,210,"MAY 24, 1979",21.0,2,1503
1999-00,Rapters,Michael Stewart,4,C,6-10,230,"APR 25, 1975",25.0,2,1565
1999-00,Rapters,Dee Brown,7,G,6-2,205,"NOV 29, 1968",31.0,9,244
1999-00,Rapters,John Thomas,12,F,6-9,265,"SEP 08, 1975",24.0,2,1519
1999-00,Rapters,Doug Christie,13,G,6-6,205,"MAY 09, 1970",30.0,7,57
1999-00,Rapters,Muggsy Bogues,14,G,5-3,141,"JAN 09, 1965",35.0,12,177
1999-00,Rapters,Vince Carter,15,F-G,6-7,215,"JAN 26, 1977",23.0,1,1713
1999-00,Rapters,Alvin Williams,20,G,6-5,185,"AUG 06, 1974",25.0,2,1541
1999-00,Rapters,Dell Curry,30,G-F,6-5,205,"JUN 25, 1964",36.0,13,209
1999-00,Rapters,Antonio Davis,33,C-F,6-9,230,"OCT 31, 1968",31.0,6,213
1999-00,Rapters,Charles Oakley,34,F,6-9,245,"DEC 18, 1963",36.0,14,891
1999-00,Rapters,Kevin Willis,42,C-F,7-0,245,"SEP 06, 1962",37.0,15,788
2000-01,Rapters,Eric Montross,00,C,7-0,270,"SEP 23, 1971",29.0,6,376
2000-01,Rapters,Chris Childs,1,G,6-3,195,"NOV 20, 1967",33.0,6,164
2000-01,Rapters,Tracy Murray,3,F,6-7,228,"JUL 25, 1971",29.0,8,145
2000-01,Rapters,Michael Stewart,4,C,6-10,230,"APR 25, 1975",26.0,3,1565
2000-01,Rapters,Keon Clark,7,C-F,6-11,221,"APR 16, 1975",26.0,2,1721
2000-01,Rapters,Jerome Williams,13,C-F,6-9,206,"MAY 10, 1973",28.0,4,966
2000-01,Rapters,Vince Carter,15,G-F,6-6,225,"JAN 26, 1977",24.0,2,1713
2000-01,Rapters,Alvin Williams,20,G,6-5,185,"AUG 06, 1974",26.0,3,1541
2000-01,Rapters,Morris Peterson,24,F-G,6-7,218,"AUG 26, 1977",23.0,R,2050
2000-01,Rapters,Dell Curry,30,G-F,6-5,205,"JUN 25, 1964",37.0,14,209
2000-01,Rapters,Antonio Davis,33,C-F,6-9,230,"OCT 31, 1968",32.0,7,213
2000-01,Rapters,Charles Oakley,34,F,6-9,245,"DEC 18, 1963",37.0,15,891
2001-02,Rapters,Eric Montross,00,C,7-0,270,"SEP 23, 1971",30.0,7,376
2001-02,Rapters,Chris Childs,1,G,6-3,195,"NOV 20, 1967",34.0,7,164
2001-02,Rapters,Michael Stewart,4,C,6-10,230,"APR 25, 1975",27.0,4,1565
2001-02,Rapters,Michael Bradley,5,F,6-9,227,"APR 18, 1979",23.0,R,2214
2001-02,Rapters,Keon Clark,7,C-F,6-11,221,"APR 16, 1975",27.0,3,1721
2001-02,Rapters,Jermaine Jackson,8,G,6-5,204,"JUN 07, 1976",26.0,1,1983
2001-02,Rapters,Jerome Williams,13,F-C,6-9,206,"MAY 10, 1973",29.0,5,966
2001-02,Rapters,Vince Carter,15,G-F,6-6,225,"JAN 26, 1977",25.0,3,1713
2001-02,Rapters,Alvin Williams,20,G,6-5,185,"AUG 06, 1974",27.0,4,1541
2001-02,Rapters,Morris Peterson,24,F-G,6-7,218,"AUG 26, 1977",24.0,1,2050
2001-02,Rapters,Dell Curry,30,G-F,6-5,205,"JUN 25, 1964",38.0,15,209
2001-02,Rapters,Antonio Davis,33,F-C,6-9,230,"OCT 31, 1968",33.0,8,213
2001-02,Rapters,Hakeem Olajuwon,34,C,7-0,255,"JAN 21, 1963",39.0,17,165
2001-02,Rapters,Derrick Dial,44,G,6-4,184,"DEC 20, 1975",26.0,2,1760
2002-03,Rapters,Eric Montross,00,C,7-0,270,"SEP 23, 1971",31.0,8,376
2002-03,Rapters,Chris Jefferies,1,F,6-8,215,"FEB 13, 1980",23.0,R,2423
2002-03,Rapters,Michael Bradley,5,F,6-10,225,"APR 18, 1979",24.0,1,2214
2002-03,Rapters,Nate Huffman,7,C,7-1,245,"APR 02, 1975",28.0,R,1572
2002-03,Rapters,Jermaine Jackson,8,G,6-5,204,"JUN 07, 1976",27.0,2,1983
2002-03,Rapters,Lindsey Hunter,11,G,6-2,195,"DEC 03, 1970",32.0,9,283
2002-03,Rapters,Jerome Williams,13,F-C,6-9,206,"MAY 10, 1973",30.0,6,966
2002-03,Rapters,Vince Carter,15,G-F,6-6,225,"JAN 26, 1977",26.0,4,1713
2002-03,Rapters,Alvin Williams,20,G,6-5,185,"AUG 06, 1974",28.0,5,1541
2002-03,Rapters,Lamond Murray,21,F,6-7,235,"APR 20, 1973",30.0,8,441
2002-03,Rapters,Morris Peterson,24,F-G,6-7,215,"AUG 26, 1977",25.0,2,2050
2002-03,Rapters,Mamadou N'diaye,32,C,7-0,255,"JUN 16, 1975",28.0,2,2055
2002-03,Rapters,Antonio Davis,33,F-C,6-9,230,"OCT 31, 1968",34.0,9,213
2002-03,Rapters,Hakeem Olajuwon,34,C,7-0,255,"JAN 21, 1963",40.0,18,165
2002-03,Rapters,Jelani McCoy,42,F,6-10,255,"DEC 06, 1977",25.0,4,1741
2003-04,Rapters,Rod Strickland,1,G,6-3,185,"JUL 11, 1966",37.0,15,393
2003-04,Rapters,Chris Bosh,4,C-F,6-10,210,"MAR 24, 1984",20.0,R,2547
2003-04,Rapters,Jalen Rose,5,G-F,6-8,217,"JAN 30, 1973",31.0,9,147
2003-04,Rapters,Jerome Moiso,6,F,6-10,235,"JUN 15, 1978",26.0,3,2040
2003-04,Rapters,Milt Palacio,10,G,6-3,195,"FEB 07, 1978",26.0,4,1960
2003-04,Rapters,Michael Curry,12,F-G,6-5,210,"AUG 22, 1968",35.0,9,688
2003-04,Rapters,Vince Carter,15,G-F,6-6,225,"JAN 26, 1977",27.0,5,1713
2003-04,Rapters,Alvin Williams,20,G,6-5,185,"AUG 06, 1974",29.0,6,1541
2003-04,Rapters,Lamond Murray,21,F,6-7,236,"APR 20, 1973",31.0,8,441
2003-04,Rapters,Dion Glover,22,G,6-5,225,"OCT 22, 1978",25.0,4,1901
2003-04,Rapters,Morris Peterson,24,F-G,6-7,215,"AUG 26, 1977",26.0,3,2050
2003-04,Rapters,Roger Mason Jr.,31,G,6-5,200,"SEP 10, 1980",23.0,1,2427
2003-04,Rapters,Robert Archibald,34,F,6-11,250,"MAR 29, 1980",24.0,1,2425
2003-04,Rapters,Donyell Marshall,42,F,6-9,230,"MAY 18, 1973",31.0,9,923
2003-04,Rapters,Corie Blount,44,F-C,6-10,242,"JAN 04, 1969",35.0,10,916
2004-05,Rapters,Omar Cook,1,G,6-1,190,"JAN 28, 1982",23.0,1,2241
2004-05,Rapters,Chris Bosh,4,F,6-10,235,"MAR 24, 1984",21.0,1,2547
2004-05,Rapters,Jalen Rose,5,G-F,6-8,215,"JAN 30, 1973",32.0,10,147
2004-05,Rapters,Pape Sow,9,F,6-10,250,"NOV 22, 1981",23.0,R,2776
2004-05,Rapters,Milt Palacio,10,G,6-3,210,"FEB 07, 1978",27.0,5,1960
2004-05,Rapters,Rafer Alston,11,G,6-2,170,"JUL 24, 1976",28.0,5,1747
2004-05,Rapters,Matt Bonner,16,F,6-10,240,"APR 05, 1980",25.0,R,2588
2004-05,Rapters,Eric Williams,17,F,6-8,220,"JUL 17, 1972",32.0,9,677
2004-05,Rapters,Lamond Murray,21,F,6-7,235,"APR 20, 1973",32.0,9,441
2004-05,Rapters,Morris Peterson,24,G-F,6-7,215,"AUG 26, 1977",27.0,4,2050
2004-05,Rapters,Aaron Williams,34,C-F,6-9,235,"OCT 02, 1971",33.0,10,1425
2004-05,Rapters,Rafael Araujo,55,C,6-11,280,"AUG 12, 1980",24.0,R,2737
2005-06,Rapters,Kris Humphries,,F,6-9,235,"FEB 06, 1985",21.0,1,2743
2005-06,Rapters,Rasho Nesterovic,,C,7-0,255,"MAY 30, 1976",30.0,7,1725
2005-06,Rapters,Darrick Martin,2,G,5-11,170,"MAR 06, 1971",35.0,10,239
2005-06,Rapters,Loren Woods,3,C,7-2,260,"JUN 21, 1978",28.0,4,2254
2005-06,Rapters,Chris Bosh,4,F,6-10,230,"MAR 24, 1984",22.0,2,2547
2005-06,Rapters,Jose Calderon,8,G,6-3,210,"SEP 28, 1981",24.0,R,101181
2005-06,Rapters,Pape Sow,9,C-F,6-10,250,"NOV 22, 1981",24.0,1,2776
2005-06,Rapters,Andre Barrett,12,G,5-10,173,"FEB 21, 1982",24.0,1,2857
2005-06,Rapters,Mike James,13,G,6-2,190,"JUN 23, 1975",31.0,4,2229
2005-06,Rapters,Joey Graham,14,F,6-7,225,"JUN 11, 1982",24.0,R,101121
2005-06,Rapters,Alvin Williams,20,G,6-5,195,"AUG 06, 1974",31.0,7,1541
2005-06,Rapters,Morris Peterson,24,F-G,6-7,220,"AUG 26, 1977",28.0,5,2050
2005-06,Rapters,Charlie Villanueva,31,F,6-11,240,"AUG 24, 1984",21.0,R,101111
2006-07,Rapters,Darrick Martin,2,G,5-11,170,"MAR 06, 1971",36.0,11,239
2006-07,Rapters,Juan Dixon,3,G,6-3,164,"OCT 09, 1978",28.0,4,2413
2006-07,Rapters,Chris Bosh,4,F,6-10,230,"MAR 24, 1984",23.0,3,2547
2006-07,Rapters,Luke Jackson,6,F-G,6-7,215,"NOV 06, 1981",25.0,2,2739
2006-07,Rapters,Andrea Bargnani,7,F,7-0,250,"OCT 26, 1985",21.0,R,200745
2006-07,Rapters,Jose Calderon,8,G,6-3,210,"SEP 28, 1981",25.0,1,101181
2006-07,Rapters,Pape Sow,9,F,6-10,250,"NOV 22, 1981",25.0,2,2776
2006-07,Rapters,Uros Slokar,10,F,6-10,238,"MAY 14, 1983",24.0,R,101166
2006-07,Rapters,T.J. Ford,11,G,6-0,165,"MAR 24, 1983",24.0,2,2551
2006-07,Rapters,Rasho Nesterovic,12,C,7-0,255,"MAY 30, 1976",31.0,8,1725
2006-07,Rapters,Joey Graham,14,F,6-7,225,"JUN 11, 1982",25.0,1,101121
2006-07,Rapters,Jorge Garbajosa,15,F,6-9,245,"DEC 19, 1977",29.0,R,200816
2006-07,Rapters,Anthony Parker,18,G-F,6-6,215,"JUN 19, 1975",32.0,3,1515
2006-07,Rapters,Morris Peterson,24,G-F,6-7,220,"AUG 26, 1977",29.0,6,2050
2006-07,Rapters,Kris Humphries,43,F,6-9,235,"FEB 06, 1985",22.0,2,2743
2007-08,Rapters,Primoz Brezec,1,C,7-1,255,"OCT 02, 1979",28.0,6,2056
2007-08,Rapters,Chris Bosh,4,F,6-10,230,"MAR 24, 1984",24.0,4,2547
2007-08,Rapters,Andrea Bargnani,7,C-F,7-0,250,"OCT 26, 1985",22.0,1,200745
2007-08,Rapters,Jose Calderon,8,G,6-3,210,"SEP 28, 1981",26.0,2,101181
