SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Rockets,Mark Bryant,2,F-C,9-Jun,245,25-Apr-65,31,7,95
1995-96,Rockets,Eldridge Recasner,3,G,4-Jun,190,14-Dec-67,28,1,695
1995-96,Rockets,Sam Mack,5,F,7-Jun,220,26-May-70,26,1,694
1995-96,Rockets,Melvin Booker,9,G,1-Jun,185,20-Aug-72,23,R,511
1995-96,Rockets,Sam Cassell,10,G,3-Jun,195,18-Nov-69,26,2,208
1995-96,Rockets,Jaren Jackson,12,G,4-Jun,190,27-Oct-67,28,5,1114
1995-96,Rockets,Tim Breaux,15,F,7-Jun,215,19-Sep-70,25,1,160
1995-96,Rockets,Mario Elie,17,F-G,5-Jun,210,26-Nov-63,32,5,53
1995-96,Rockets,Tracy Moore,20,G,4-Jun,200,28-Dec-65,30,3,929
1995-96,Rockets,Henry James,21,F,8-Jun,220,29-Jul-65,30,4,1080
1995-96,Rockets,Clyde Drexler,22,G,7-Jun,222,22-Jun-62,34,12,17
1995-96,Rockets,Robert Horry,25,F,10-Jun,220,25-Aug-70,25,3,109
1995-96,Rockets,Charles Jones,27,C,9-Jun,215,3-Apr-57,39,12,279
1995-96,Rockets,Kenny Smith,30,G,3-Jun,170,8-Mar-65,31,8,181
1995-96,Rockets,Pete Chilcutt,32,F,10-Jun,235,14-Sep-68,27,4,432
1995-96,Rockets,Hakeem Olajuwon,34,C,Jul-00,255,21-Jan-63,33,11,165
1995-96,Rockets,Chucky Brown,52,F,8-Jun,215,29-Feb-68,28,6,359
1995-96,Rockets,Alvin Heggs,55,F,8-Jun,225,8-Dec-67,28,R,76987
1996-97,Rockets,Sedale Threatt,2,G,2-Jun,185,10-Sep-61,35,13,9
1996-97,Rockets,Randy Livingston,3,G,4-Jun,209,2-Apr-75,22,R,988
1996-97,Rockets,Charles Barkley,4,F,6-Jun,252,20-Feb-63,34,12,787
1996-97,Rockets,Eddie Johnson,8,F,7-Jun,215,1-May-59,38,14,698
1996-97,Rockets,Matt Maloney,12,G,3-Jun,200,6-Dec-71,25,R,1074
1996-97,Rockets,Mario Elie,17,F-G,5-Jun,210,26-Nov-63,33,6,53
1996-97,Rockets,Clyde Drexler,22,G-F,7-Jun,222,22-Jun-62,35,13,17
1996-97,Rockets,Charles Jones,27,F-C,9-Jun,215,3-Apr-57,40,13,279
1996-97,Rockets,Othella Harrington,32,F,9-Jun,235,31-Jan-74,23,R,970
1996-97,Rockets,Hakeem Olajuwon,34,C,Jul-00,255,21-Jan-63,34,12,165
1996-97,Rockets,Kevin Willis,42,F-C,Jul-00,245,6-Sep-62,34,12,788
1996-97,Rockets,Matt Bullard,50,F,10-Jun,235,5-Jun-67,30,5,672
1997-98,Rockets,Rodrick Rhodes,1,F-G,6-Jun,225,24-Sep-73,24,R,1518
1997-98,Rockets,Charles Barkley,4,F,6-Jun,252,20-Feb-63,35,13,787
1997-98,Rockets,Eddie Johnson,8,G,7-Jun,215,1-May-59,39,15,698
1997-98,Rockets,Matt Maloney,12,G,3-Jun,200,6-Dec-71,26,1,1074
1997-98,Rockets,Mario Elie,17,F-G,5-Jun,210,26-Nov-63,34,7,53
1997-98,Rockets,Brent Price,20,G,1-Jun,185,9-Dec-68,29,4,85
1997-98,Rockets,Clyde Drexler,22,G,7-Jun,222,22-Jun-62,36,14,17
1997-98,Rockets,Charles Jones,27,F-C,9-Jun,215,3-Apr-57,41,14,279
1997-98,Rockets,Othella Harrington,32,F-C,9-Jun,235,31-Jan-74,24,1,970
1997-98,Rockets,Hakeem Olajuwon,34,C,Jul-00,255,21-Jan-63,35,13,165
1997-98,Rockets,Kevin Willis,42,C-F,Jul-00,245,6-Sep-62,35,13,788
1997-98,Rockets,Matt Bullard,50,F,10-Jun,235,5-Jun-67,31,6,672
1998-99,Rockets,Michael Dickerson,3,G,5-Jun,190,25-Jun-75,24,R,1722
1998-99,Rockets,Charles Barkley,4,F,6-Jun,252,20-Feb-63,36,14,787
1998-99,Rockets,Cuttino Mobley,5,G,4-Jun,190,1-Sep-75,23,R,1749
1998-99,Rockets,Sam Mack,7,G-F,7-Jun,220,26-May-70,29,4,694
1998-99,Rockets,Bryce Drew,11,G,3-Jun,185,21-Sep-74,24,R,1724
1998-99,Rockets,Brent Price,20,G,1-Jun,185,9-Dec-68,30,5,85
1998-99,Rockets,Othella Harrington,32,F-C,9-Jun,235,31-Jan-74,25,2,970
1998-99,Rockets,Scottie Pippen,33,F-G,7-Jun,228,25-Sep-65,33,11,937
1998-99,Rockets,Hakeem Olajuwon,34,C,Jul-00,255,21-Jan-63,36,14,165
1998-99,Rockets,Matt Bullard,50,F,10-Jun,235,5-Jun-67,32,7,672
1998-99,Rockets,Stanley Roberts,53,C,Jul-00,290,7-Feb-70,29,7,914
1998-99,Rockets,Antoine Carr,55,F,9-Jun,270,23-Jul-61,37,14,156
1999-00,Rockets,Anthony Miller,2,F-C,9-Jun,255,22-Oct-71,28,5,292
1999-00,Rockets,Steve Francis,3,G,3-Jun,193,21-Feb-77,23,R,1883
1999-00,Rockets,Charles Barkley,4,F,6-Jun,252,20-Feb-63,37,15,787
1999-00,Rockets,Cuttino Mobley,5,G,4-Jun,190,1-Sep-75,24,1,1749
1999-00,Rockets,Carlos Rogers,6,F-C,11-Jun,232,6-Feb-71,29,5,435
1999-00,Rockets,,9,F,6-Jun,230,,,1,76856
1999-00,Rockets,Moochie Norris,12,G,1-Jun,175,27-Jul-73,26,2,983
1999-00,Rockets,Kelvin Cato,13,F-C,11-Jun,255,26-Aug-74,25,1,1509
1999-00,Rockets,Kenny Thomas,21,F,8-Jun,260,25-Jul-77,22,R,1903
1999-00,Rockets,Shandon Anderson,40,G,6-Jun,210,31-Dec-73,26,3,1000
1999-00,Rockets,Walt Williams,42,F-G,8-Jun,230,16-Apr-70,30,6,1005
1999-00,Rockets,Matt Bullard,50,F,10-Jun,235,5-Jun-67,33,8,672
2000-01,Rockets,Steve Francis,3,G,3-Jun,193,21-Feb-77,24,1,1883
2000-01,Rockets,Cuttino Mobley,5,G,4-Jun,190,1-Sep-75,25,2,1749
2000-01,Rockets,Carlos Rogers,6,F-C,11-Jun,232,6-Feb-71,30,6,435
2000-01,Rockets,Moochie Norris,12,G,1-Jun,175,27-Jul-73,27,3,983
