SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Spurs,Cory Alexander,1,G,1-Jun,190,22-Jun-73,23,R,724
1995-96,Spurs,Monty Williams,3,F,8-Jun,225,8-Oct-71,24,1,42
1995-96,Spurs,Dell Demps,5,G,3-Jun,205,12-Feb-70,26,1,725
1995-96,Spurs,Avery Johnson,6,G,11-May,180,25-Mar-65,31,7,422
1995-96,Spurs,Carl Herrera,7,F,9-Jun,225,14-Dec-66,29,4,61
1995-96,Spurs,Vinny Del Negro,15,G,4-Jun,200,9-Aug-66,29,5,219
1995-96,Spurs,Doc Rivers,25,G,4-Jun,210,13-Oct-61,34,12,470
1995-96,Spurs,Sean Elliott,32,F,8-Jun,220,2-Feb-68,28,6,251
1995-96,Spurs,Greg Anderson,33,F-C,10-Jun,250,22-Jun-64,32,7,246
1995-96,Spurs,Will Perdue,41,F-C,Jul-00,240,29-Aug-65,30,7,781
1995-96,Spurs,Chuck Person,45,F,8-Jun,235,27-Jun-64,32,9,456
1995-96,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,30,6,764
1995-96,Spurs,Charles Smith,54,F,10-Jun,244,16-Jul-65,30,7,293
1996-97,Spurs,Cory Alexander,1,G,1-Jun,190,22-Jun-73,24,1,724
1996-97,Spurs,Monty Williams,3,F,8-Jun,225,8-Oct-71,25,2,42
1996-97,Spurs,Avery Johnson,6,G,11-May,180,25-Mar-65,32,8,422
1996-97,Spurs,Carl Herrera,7,F,9-Jun,225,14-Dec-66,30,5,61
1996-97,Spurs,Vernon Maxwell,11,G,4-Jun,190,12-Sep-65,31,8,137
1996-97,Spurs,Vinny Del Negro,15,G,4-Jun,200,9-Aug-66,30,6,219
1996-97,Spurs,Dominique Wilkins,21,F,8-Jun,230,12-Jan-60,37,13,1122
1996-97,Spurs,Sean Elliott,32,F,8-Jun,220,2-Feb-68,29,7,251
1996-97,Spurs,Greg Anderson,33,C-F,10-Jun,250,22-Jun-64,33,8,246
1996-97,Spurs,Will Perdue,41,C,Jul-00,240,29-Aug-65,31,8,781
1996-97,Spurs,Jamie Feick,50,C-F,8-Jun,255,3-Jul-74,22,R,994
1996-97,Spurs,Charles Smith,54,F,10-Jun,244,16-Jul-65,31,8,293
1997-98,Spurs,Jaren Jackson,2,G,6-Jun,215,27-Oct-67,30,7,1114
1997-98,Spurs,Monty Williams,3,G-F,8-Jun,225,8-Oct-71,26,3,42
1997-98,Spurs,,4,G,2-Jun,190,,,1,78652
1997-98,Spurs,Reggie Geary,4,G,2-Jun,187,31-Aug-73,24,,1002
1997-98,Spurs,Avery Johnson,6,G,11-May,180,25-Mar-65,33,9,422
1997-98,Spurs,Carl Herrera,7,F,9-Jun,225,14-Dec-66,31,6,61
1997-98,Spurs,Vinny Del Negro,15,G,4-Jun,200,9-Aug-66,31,7,219
1997-98,Spurs,Tim Duncan,21,F-C,Jul-00,248,25-Apr-76,22,R,1495
1997-98,Spurs,Malik Rose,31,F,7-Jun,250,23-Nov-74,23,1,990
1997-98,Spurs,Will Perdue,41,C,Jul-00,240,29-Aug-65,32,9,781
1997-98,Spurs,Chuck Person,45,F,8-Jun,235,27-Jun-64,34,11,456
1997-98,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,32,8,764
1997-98,Spurs,Brad Lohaus,54,F-C,11-Jun,230,29-Sep-64,33,8,38
1998-99,Spurs,Jaren Jackson,2,G,6-Jun,215,27-Oct-67,31,8,1114
1998-99,Spurs,Steve Kerr,4,G,3-Jun,181,27-Sep-65,33,10,70
1998-99,Spurs,Avery Johnson,6,G,11-May,180,25-Mar-65,34,10,422
1998-99,Spurs,Mario Elie,17,G-F,5-Jun,210,26-Nov-63,35,8,53
1998-99,Spurs,Tim Duncan,21,F-C,Jul-00,248,25-Apr-76,23,1,1495
1998-99,Spurs,Jerome Kersey,25,F,7-Jun,225,26-Jun-62,37,14,760
1998-99,Spurs,Malik Rose,31,F,7-Jun,250,23-Nov-74,24,2,990
1998-99,Spurs,Sean Elliott,32,F,8-Jun,220,2-Feb-68,31,9,251
1998-99,Spurs,Antonio Daniels,33,G,4-Jun,200,19-Mar-75,24,1,1498
1998-99,Spurs,Will Perdue,41,C,Jul-00,240,29-Aug-65,33,10,781
1998-99,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,33,9,764
1998-99,Spurs,Gerard King,54,F,9-Jun,230,25-Nov-72,26,R,1562
1999-00,Spurs,Jaren Jackson,2,G,6-Jun,225,27-Oct-67,32,9,1114
1999-00,Spurs,Derrick Dial,5,G,4-Jun,184,20-Dec-75,24,R,1760
1999-00,Spurs,Avery Johnson,6,G,11-May,180,25-Mar-65,35,11,422
1999-00,Spurs,Mario Elie,17,G,5-Jun,225,26-Nov-63,36,9,53
1999-00,Spurs,Tim Duncan,21,F,Jul-00,260,25-Apr-76,24,2,1495
1999-00,Spurs,Jerome Kersey,25,F,7-Jun,245,26-Jun-62,38,15,760
1999-00,Spurs,Terry Porter,30,G,3-Jun,205,8-Apr-63,37,14,345
1999-00,Spurs,Malik Rose,31,F,7-Jun,255,23-Nov-74,25,3,990
1999-00,Spurs,Sean Elliott,32,F,8-Jun,220,2-Feb-68,32,10,251
1999-00,Spurs,Antonio Daniels,33,G,4-Jun,205,19-Mar-75,25,2,1498
1999-00,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,34,10,764
1999-00,Spurs,Samaki Walker,55,F,9-Jun,260,25-Feb-76,24,3,955
2000-01,Spurs,Derek Anderson,1,G,5-Jun,195,18-Jul-74,26,3,1507
2000-01,Spurs,Steve Kerr,4,G,3-Jun,180,27-Sep-65,35,12,70
2000-01,Spurs,Avery Johnson,6,G,11-May,180,25-Mar-65,36,12,422
2000-01,Spurs,Tim Duncan,21,F-C,Jul-00,260,25-Apr-76,25,3,1495
2000-01,Spurs,Terry Porter,30,G,3-Jun,205,8-Apr-63,38,15,345
2000-01,Spurs,Malik Rose,31,F,7-Jun,255,23-Nov-74,26,4,990
2000-01,Spurs,Sean Elliott,32,F,8-Jun,220,2-Feb-68,33,11,251
2000-01,Spurs,Antonio Daniels,33,G,4-Jun,205,19-Mar-75,26,3,1498
2000-01,Spurs,Danny Ferry,35,F,10-Jun,235,17-Oct-66,34,10,198
2000-01,Spurs,Shawnelle Scott,36,C,11-Jun,250,16-Jun-72,29,2,1035
2000-01,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,35,11,764
2000-01,Spurs,Samaki Walker,52,F,9-Jun,260,25-Feb-76,25,4,955
2001-02,Spurs,Jason Hart,1,G,2-Jun,181,29-Apr-78,24,1,2078
2001-02,Spurs,Mark Bryant,2,F,9-Jun,250,25-Apr-65,37,13,95
2001-02,Spurs,Charles Smith,5,G,4-Jun,194,22-Aug-75,26,2,1520
2001-02,Spurs,Steven Smith,8,G-F,8-Jun,221,31-Mar-69,33,10,120
2001-02,Spurs,Tony Parker,9,G,2-Jun,177,17-May-82,20,R,2225
2001-02,Spurs,Bruce Bowen,12,F-G,7-Jun,200,14-Jun-71,31,5,1477
2001-02,Spurs,Amal McCaskill,15,C,11-Jun,245,28-Oct-73,28,1,1043
2001-02,Spurs,Cherokee Parks,18,F-C,11-Jun,240,11-Oct-72,29,6,685
2001-02,Spurs,Tim Duncan,21,F-C,Jul-00,260,25-Apr-76,26,4,1495
2001-02,Spurs,Terry Porter,30,G,3-Jun,205,8-Apr-63,39,16,345
2001-02,Spurs,Malik Rose,31,F,7-Jun,255,23-Nov-74,27,5,990
2001-02,Spurs,Antonio Daniels,33,G,4-Jun,205,19-Mar-75,27,4,1498
2001-02,Spurs,Danny Ferry,35,F,10-Jun,235,17-Oct-66,35,11,198
2001-02,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,36,12,764
2002-03,Spurs,Duane Causwell,,C,Jul-00,255,31-May-68,35,11,190
2002-03,Spurs,Mengke Bateer,,C,11-Jun,290,20-Nov-75,27,1,2370
2002-03,Spurs,Erick Barkley,1,G,1-Jun,185,21-Feb-78,25,2,2057
2002-03,Spurs,Stephen Jackson,3,G-F,8-Jun,220,5-Apr-78,25,2,1536
2002-03,Spurs,Steven Smith,8,G,8-Jun,221,31-Mar-69,34,11,120
2002-03,Spurs,Tony Parker,9,G,2-Jun,180,17-May-82,21,1,2225
2002-03,Spurs,Speedy Claxton,10,G,11-May,166,8-May-78,25,1,2049
2002-03,Spurs,Bruce Bowen,12,G,7-Jun,200,14-Jun-71,32,6,1477
2002-03,Spurs,Manu Ginobili,20,G,6-Jun,210,28-Jul-77,25,R,1938
2002-03,Spurs,Tim Duncan,21,F-C,Jul-00,260,25-Apr-76,27,5,1495
2002-03,Spurs,Devin Brown,23,G-F,5-Jun,235,30-Dec-78,24,R,2484
2002-03,Spurs,Steve Kerr,25,G,1-Jun,180,27-Sep-65,37,14,70
2002-03,Spurs,Malik Rose,31,F,7-Jun,255,23-Nov-74,28,6,990
2002-03,Spurs,Danny Ferry,35,F,10-Jun,235,17-Oct-66,36,12,198
2002-03,Spurs,Mikki Moore,38,C,Jul-00,230,4-Nov-75,27,4,1630
2002-03,Spurs,Kevin Willis,42,C,Jul-00,245,6-Sep-62,40,17,788
2002-03,Spurs,David Robinson,50,C,1-Jul,250,6-Aug-65,37,13,764
2003-04,Spurs,Jason Hart,1,G,3-Jun,185,29-Apr-78,26,2,2078
