SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Suns,Elliot Perry,2,G,6-0,160,"MAR 28, 1969",27.0,3,386
1995-96,Suns,Michael Finley,4,F,6-7,215,"MAR 06, 1973",23.0,R,714
1995-96,Suns,Kevin Johnson,7,G,6-1,190,"MAR 04, 1966",30.0,8,134
1995-96,Suns,Mario Bennett,8,F,6-9,235,"AUG 01, 1973",22.0,R,712
1995-96,Suns,Wesley Person,11,G,6-6,195,"MAR 28, 1971",25.0,1,445
1995-96,Suns,Danny Manning,15,F,6-10,234,"MAY 17, 1966",30.0,7,330
1995-96,Suns,Hot Rod Williams,18,C-F,6-11,245,"AUG 09, 1962",33.0,9,73
1995-96,Suns,Wayman Tisdale,23,C-F,6-9,260,"JUN 09, 1964",32.0,10,47
1995-96,Suns,Charles Barkley,34,F,6-6,252,"FEB 20, 1963",33.0,11,787
1995-96,Suns,Joe Kleine,35,C,7-0,271,"JAN 04, 1962",34.0,10,170
1995-96,Suns,John Coker,40,C,7-0,253,"OCT 28, 1971",24.0,R,715
1995-96,Suns,Chris Carr,43,G,6-6,207,"MAR 12, 1974",22.0,R,713
1995-96,Suns,A.C. Green,45,F,6-9,225,"OCT 04, 1963",32.0,10,920
1995-96,Suns,Stefano Rusconi,51,F,6-9,240,"FEB 10, 1968",28.0,R,474
1996-97,Suns,Cedric Ceballos,1,F,6-7,225,"AUG 02, 1969",27.0,6,76
1996-97,Suns,Mark Bryant,2,F,6-9,245,"APR 25, 1965",32.0,8,95
1996-97,Suns,Rex Chapman,3,G,6-4,195,"OCT 05, 1967",29.0,8,364
1996-97,Suns,Kevin Johnson,7,G,6-1,190,"MAR 04, 1966",31.0,9,134
1996-97,Suns,Wesley Person,11,G-F,6-6,195,"MAR 28, 1971",26.0,2,445
1996-97,Suns,Steve Nash,13,G,6-3,195,"FEB 07, 1974",23.0,R,959
1996-97,Suns,Danny Manning,15,F,6-10,234,"MAY 17, 1966",31.0,8,330
1996-97,Suns,Hot Rod Williams,18,C-F,6-11,245,"AUG 09, 1962",34.0,10,73
