SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Thunders,Sherell Ford,1,F,6-7,210,"AUG 26, 1972",23.0,R,726
1995-96,Thunders,Vincent Askew,2,F-G,6-6,235,"FEB 28, 1966",30.0,6,355
1995-96,Thunders,Nate McMillan,10,G,6-5,200,"AUG 03, 1964",31.0,9,203
1995-96,Thunders,Detlef Schrempf,11,F,6-10,235,"JAN 21, 1963",33.0,10,96
1995-96,Thunders,Eric Snow,13,G,6-3,200,"APR 24, 1973",23.0,R,727
1995-96,Thunders,Sam Perkins,14,C-F,6-9,255,"JUN 14, 1961",35.0,11,64
1995-96,Thunders,Gary Payton,20,G,6-4,190,"JUL 23, 1968",27.0,5,56
1995-96,Thunders,David Wingate,25,G-F,6-5,185,"DEC 15, 1963",32.0,9,766
1995-96,Thunders,Hersey Hawkins,33,G,6-3,190,"SEP 29, 1966",29.0,7,765
1995-96,Thunders,Frank Brickowski,34,C-F,6-9,248,"AUG 14, 1959",36.0,10,783
1995-96,Thunders,Shawn Kemp,40,F,6-10,245,"NOV 26, 1969",26.0,6,431
1995-96,Thunders,Ervin Johnson,50,C,6-11,245,"DEC 21, 1967",28.0,2,911
1995-96,Thunders,Steve Scheffler,55,C,6-9,250,"SEP 03, 1967",28.0,5,88
1996-97,Thunders,Nate McMillan,10,G,6-5,200,"AUG 03, 1964",32.0,10,203
1996-97,Thunders,Detlef Schrempf,11,F,6-10,235,"JAN 21, 1963",34.0,11,96
1996-97,Thunders,Eric Snow,13,G,6-3,200,"APR 24, 1973",24.0,1,727
1996-97,Thunders,Sam Perkins,14,F-C,6-9,255,"JUN 14, 1961",36.0,12,64
1996-97,Thunders,Gary Payton,20,G,6-4,190,"JUL 23, 1968",28.0,6,56
1996-97,Thunders,Greg Graham,21,G,6-4,182,"NOV 26, 1970",26.0,3,37
1996-97,Thunders,Jim McIlvaine,22,C,7-1,260,"JUL 30, 1972",24.0,2,29
