SEASON,TEAM,PLAYER,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,PLAYER_ID
1995-96,Warriors,Donyell Marshall,3,F,9-Jun,230,18-May-73,23,1,923
1995-96,Warriors,Rony Seikaly,4,C,11-Jun,230,10-May-65,31,7,938
1995-96,Warriors,Jerome Kersey,7,F,7-Jun,225,26-Jun-62,34,11,760
1995-96,Warriors,B.J. Armstrong,11,G,2-Jun,185,9-Sep-67,28,6,769
1995-96,Warriors,Bimbo Coles,12,G,2-Jun,182,22-Apr-68,28,5,902
1995-96,Warriors,Latrell Sprewell,15,G,5-Jun,190,8-Sep-70,25,3,84
1995-96,Warriors,Chris Mullin,17,F,6-Jun,200,30-Jul-63,32,10,904
1995-96,Warriors,Jon Barry,20,G,5-Jun,194,25-Jul-69,26,3,468
1995-96,Warriors,Robert Churchwell,21,F,6-Jun,195,20-Feb-72,24,R,928
1995-96,Warriors,Joe Smith,32,F,10-Jun,225,26-Jul-75,20,R,693
1995-96,Warriors,Kevin Willis,41,F-C,Jul-00,240,6-Sep-62,33,10,788
1995-96,Warriors,Geert Hammink,43,F-C,Jul-00,262,12-Apr-69,27,2,903
1995-96,Warriors,Clifford Rozier,44,C-F,11-Jun,255,31-Oct-72,23,1,32
1995-96,Warriors,Andrew DeClercq,55,F,10-Jun,230,1-Feb-73,23,R,692
1996-97,Warriors,Donyell Marshall,3,F,9-Jun,230,18-May-73,24,2,923
1996-97,Warriors,Melvin Booker,5,G,2-Jun,185,20-Aug-72,24,1,511
1996-97,Warriors,Latrell Sprewell,15,G,5-Jun,190,8-Sep-70,26,4,84
1996-97,Warriors,Chris Mullin,17,F-G,7-Jun,215,30-Jul-63,33,11,904
1996-97,Warriors,Lou Roe,21,F,7-Jun,220,14-Jul-72,24,1,691
1996-97,Warriors,Scott Burrell,23,F-G,7-Jun,226,12-Jan-71,26,3,197
1996-97,Warriors,Mark Price,25,G,Jun-00,180,15-Feb-64,33,10,899
1996-97,Warriors,Joe Smith,32,F,10-Jun,225,26-Jul-75,21,1,693
1996-97,Warriors,Marcus Mann,34,F,8-Jun,245,19-Dec-73,23,R,986
1996-97,Warriors,Ray Owes,35,F,9-Jun,224,12-Dec-72,24,R,1077
1996-97,Warriors,Felton Spencer,50,C,Jul-00,280,5-Jan-68,29,6,280
1996-97,Warriors,Todd Fuller,52,C,11-Jun,255,25-Jul-74,22,R,957
1996-97,Warriors,Andrew DeClercq,55,F-C,10-Jun,230,1-Feb-73,24,1,692
1997-98,Warriors,Tony Delk,0,G,2-Jun,192,28-Jan-74,24,1,960
1997-98,Warriors,Muggsy Bogues,1,G,3-May,141,9-Jan-65,33,10,177
