SEASON_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_ID
2010-11,A.J. Price,IND,50,795.205,114,320,0.356,41,149,0.275,54,81,0.667,16,56,72,111,29,1,53,61,323,201985
2010-11,Aaron Brooks,PHX,59,1284.2316666666666,220,587,0.375,70,236,0.297,124,140,0.886,20,58,78,233,34,3,99,115,634,201166
2010-11,Aaron Gray,NOH,41,530.825,56,99,0.566,0,0,0.0,17,34,0.5,59,112,171,16,11,12,32,96,129,201189
2010-11,Acie Law,GSW,51,725.8783333333333,81,186,0.435,6,36,0.167,47,64,0.734,12,51,63,84,32,0,43,61,215,201151
2010-11,Al Harrington,DEN,73,1664.3816666666667,281,675,0.416,117,328,0.357,86,117,0.735,76,256,332,101,39,10,106,202,765,1733
2010-11,Al Horford,ATL,77,2703.7066666666665,513,921,0.557,2,4,0.5,150,188,0.798,182,536,718,266,59,80,119,193,1178,201143
2010-11,Al Jefferson,UTA,82,2940.4466666666667,654,1319,0.496,0,0,0.0,220,289,0.761,235,559,794,149,46,153,105,238,1528,2744
2010-11,Al Thornton,GSW,71,1383.4166666666667,205,431,0.476,4,26,0.154,110,142,0.775,56,157,213,62,35,12,64,143,524,201154
2010-11,Al-Farouq Aminu,LAC,81,1451.535,160,406,0.394,45,143,0.315,92,119,0.773,75,192,267,60,59,25,103,121,457,202329
2010-11,Alexis Ajinca,TOR,34,339.62333333333333,59,133,0.444,12,34,0.353,13,18,0.722,17,61,78,10,11,19,18,73,143,201582
2010-11,Alonzo Gee,CLE,56,1117.605,121,264,0.458,17,51,0.333,72,92,0.783,62,120,182,38,40,18,55,94,331,202087
2010-11,Amar'e Stoudemire,NYK,78,2870.028333333333,744,1482,0.502,10,23,0.435,473,597,0.792,198,438,636,202,71,150,250,274,1971,2405
2010-11,Amir Johnson,TOR,72,1852.665,281,495,0.568,0,1,0.0,126,160,0.788,189,272,461,81,53,88,69,263,688,101161
2010-11,Anderson Varejao,CLE,31,993.945,114,216,0.528,0,2,0.0,54,81,0.667,98,203,301,45,27,38,40,87,282,2760
2010-11,Andray Blatche,WAS,64,2171.951666666667,426,957,0.445,4,18,0.222,220,283,0.777,183,343,526,144,98,51,172,182,1076,101154
2010-11,Andre Iguodala,PHI,67,2468.355,338,759,0.445,61,181,0.337,208,300,0.693,61,326,387,422,101,38,138,109,945,2738
2010-11,Andre Miller,POR,81,2649.72,388,844,0.46,4,37,0.108,249,292,0.853,97,205,302,566,114,12,197,171,1029,1889
2010-11,Andrea Bargnani,TOR,66,2353.108333333333,525,1173,0.448,77,223,0.345,287,350,0.82,74,269,343,119,34,46,152,160,1414,200745
2010-11,Andrei Kirilenko,UTA,64,1998.8666666666666,253,542,0.467,36,98,0.367,208,270,0.77,100,227,327,192,81,74,117,113,750,1905
2010-11,Andres Nocioni,PHI,54,931.0516666666666,118,277,0.426,42,118,0.356,49,61,0.803,19,150,169,45,14,15,47,100,327,2804
2010-11,Andrew Bogut,MIL,65,2297.19,367,742,0.495,0,4,0.0,96,217,0.442,199,521,720,131,47,168,125,217,830,101106
2010-11,Andrew Bynum,LAL,54,1499.8183333333334,237,413,0.574,0,0,0.0,138,209,0.66,170,338,508,73,19,106,74,140,612,101115
2010-11,Andris Biedrins,GSW,59,1397.24,142,266,0.534,0,0,0.0,10,31,0.323,145,281,426,60,52,52,57,198,294,2740
2010-11,Andy Rautins,NYK,5,24.1,3,7,0.429,1,4,0.25,1,2,0.5,0,1,1,3,1,0,7,0,8,202360
2010-11,Antawn Jamison,CLE,56,1842.1466666666668,374,876,0.427,91,263,0.346,171,234,0.731,86,289,375,93,50,30,77,137,1010,1712
2010-11,Anthony Carter,NYK,33,463.2966666666667,45,106,0.425,12,40,0.3,8,8,1.0,7,44,51,69,27,6,39,49,110,1853
2010-11,Anthony Morrow,NJN,58,1856.4,279,620,0.45,110,260,0.423,96,107,0.897,37,135,172,68,19,7,54,135,764,201627
2010-11,Anthony Parker,CLE,72,2091.1966666666667,220,552,0.399,86,227,0.379,74,95,0.779,33,185,218,218,67,10,80,109,600,1515
2010-11,Anthony Randolph,MIN,40,589.4583333333334,123,264,0.466,1,4,0.25,58,86,0.674,43,117,160,33,22,24,53,62,305,201576
2010-11,Anthony Tolliver,MIN,65,1362.0983333333334,141,313,0.45,47,115,0.409,105,131,0.802,92,203,295,82,28,28,49,145,434,201229
2010-11,Antoine Wright,SAC,7,31.36,1,8,0.125,0,4,0.0,0,0,0.0,2,1,3,0,1,0,1,3,2,101120
2010-11,Antonio Daniels,PHI,4,35.29666666666667,2,5,0.4,0,2,0.0,2,2,1.0,0,5,5,2,0,0,1,0,6,1498
2010-11,Antonio McDyess,SAS,73,1386.545,169,344,0.491,0,1,0.0,52,77,0.675,122,273,395,84,36,39,72,163,390,686
2010-11,Armon Johnson,POR,38,277.43666666666667,46,101,0.455,5,12,0.417,13,22,0.591,11,25,36,45,5,1,38,31,110,202356
2010-11,Arron Afflalo,DEN,69,2324.4266666666667,312,627,0.498,105,248,0.423,138,163,0.847,45,206,251,168,34,31,71,153,867,201167
2010-11,Austin Daye,DET,72,1446.2816666666668,193,471,0.41,69,172,0.401,82,108,0.759,64,210,274,78,39,39,59,165,537,201948
2010-11,Avery Bradley,BOS,31,162.14,23,67,0.343,0,5,0.0,6,12,0.5,4,13,17,12,9,0,16,20,52,202340
2010-11,Baron Davis,CLE,58,1649.3383333333334,289,693,0.417,81,239,0.339,101,131,0.771,35,121,156,391,78,28,146,143,760,1884
2010-11,Ben Gordon,DET,82,2130.8433333333332,339,770,0.44,107,266,0.402,136,160,0.85,41,154,195,171,48,16,141,178,921,2732
2010-11,Ben Uzoh,NJN,42,437.5516666666667,61,144,0.424,3,8,0.375,33,56,0.589,30,31,61,69,13,8,25,29,158,202386
2010-11,Ben Wallace,DET,54,1238.1833333333334,67,149,0.45,1,2,0.5,19,57,0.333,129,221,350,72,54,54,44,81,154,1112
2010-11,Beno Udrih,SAC,79,2733.71,412,824,0.5,65,182,0.357,197,228,0.864,41,224,265,386,94,9,141,181,1086,2757
2010-11,Blake Griffin,LAC,82,3111.79,696,1376,0.506,7,24,0.292,446,695,0.642,270,719,989,312,63,45,223,252,1845,201933
2010-11,Bobby Simmons,SAS,2,15.518333333333333,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,2,0,2250
2010-11,Boris Diaw,CHA,82,2778.1783333333333,381,774,0.492,78,226,0.345,84,123,0.683,105,309,414,337,74,46,166,190,924,2564
2010-11,Brad Miller,HOU,60,1015.4266666666666,132,296,0.446,40,107,0.374,78,94,0.83,44,178,222,145,28,21,54,98,382,1802
2010-11,Brandan Wright,NJN,37,378.67333333333335,60,117,0.513,0,0,0.0,21,31,0.677,31,58,89,12,11,17,14,34,141,201148
2010-11,Brandon Bass,ORL,76,1979.8883333333333,332,645,0.515,0,2,0.0,190,233,0.815,134,290,424,57,27,52,97,159,854,101138
2010-11,Brandon Jennings,MIL,63,2168.693333333333,361,926,0.39,98,303,0.323,199,246,0.809,42,192,234,305,95,21,146,131,1019,201943
2010-11,Brandon Roy,POR,47,1309.8833333333334,209,523,0.4,38,114,0.333,117,138,0.848,28,93,121,129,37,12,55,76,573,200750
2010-11,Brandon Rush,IND,67,1753.7983333333334,217,515,0.421,93,223,0.417,80,106,0.755,33,184,217,62,41,35,69,107,607,201575
2010-11,Brendan Haywood,DAL,72,1331.365,128,223,0.574,0,1,0.0,64,177,0.362,129,247,376,19,16,74,51,146,320,2217
2010-11,Brian Cardinal,DAL,56,617.975,43,100,0.43,42,87,0.483,17,18,0.944,10,49,59,40,24,7,17,82,145,2073
2010-11,Brian Cook,LAC,40,447.245,72,170,0.424,34,79,0.43,15,24,0.625,19,77,96,15,12,11,25,75,193,2567
2010-11,Brian Scalabrine,CHI,18,87.97833333333334,10,19,0.526,0,5,0.0,0,0,0.0,1,7,8,6,3,4,5,18,20,2243
2010-11,Brian Skinner,MIL,2,5.883333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1730
2010-11,Brook Lopez,NJN,82,2888.73,644,1309,0.492,0,1,0.0,385,489,0.787,197,291,488,129,47,120,176,240,1673,201572
2010-11,Byron Mullens,OKC,13,85.09333333333333,9,28,0.321,0,0,0.0,7,14,0.5,6,18,24,0,2,3,8,11,25,201957
2010-11,CJ Miles,UTA,78,1968.785,366,899,0.407,109,339,0.322,159,196,0.811,54,201,255,135,74,38,93,221,1000,101139
2010-11,CJ Watson,CHI,82,1090.8,146,394,0.371,44,112,0.393,69,93,0.742,16,78,94,186,55,11,73,82,405,201228
2010-11,Carl Landry,NOH,76,2008.4983333333332,345,687,0.502,0,4,0.0,213,288,0.74,165,182,347,63,40,32,109,196,903,201171
2010-11,Carlos Arroyo,BOS,64,1184.7383333333332,120,273,0.44,31,69,0.449,39,47,0.83,20,83,103,125,21,1,60,71,310,2306
2010-11,Carlos Boozer,CHI,59,1881.7566666666667,431,845,0.51,0,0,0.0,171,244,0.701,130,435,565,145,45,18,149,186,1033,2430
2010-11,Carlos Delfino,MIL,49,1590.5233333333333,200,513,0.39,105,284,0.37,60,75,0.8,24,176,200,112,76,8,57,72,565,2568
2010-11,Carmelo Anthony,NYK,77,2751.266666666667,684,1503,0.455,95,251,0.378,507,605,0.838,118,445,563,221,68,46,206,224,1970,2546
2010-11,Caron Butler,DAL,29,867.1516666666666,170,378,0.45,28,65,0.431,68,88,0.773,22,96,118,46,28,8,49,59,436,2406
2010-11,Cartier Martin,WAS,52,542.22,71,182,0.39,39,99,0.394,28,40,0.7,20,54,74,18,18,6,16,52,209,201858
2010-11,Channing Frye,PHX,77,2541.03,358,829,0.432,171,439,0.39,89,107,0.832,65,448,513,96,46,79,73,272,976,101112
2010-11,Charles Hayes,HOU,74,2079.1766666666667,244,463,0.527,0,2,0.0,94,142,0.662,219,380,599,202,79,49,86,200,582,101236
2010-11,Charlie Bell,GSW,19,170.925,12,43,0.279,6,21,0.286,2,4,0.5,6,12,18,13,6,1,6,13,32,2294
2010-11,Charlie Villanueva,DET,76,1665.625,313,708,0.442,125,323,0.387,89,116,0.767,50,245,295,48,42,42,66,175,840,101111
2010-11,Chase Budinger,HOU,78,1737.4566666666667,279,656,0.425,89,274,0.325,118,138,0.855,52,229,281,127,41,18,67,114,765,201978
2010-11,Chauncey Billups,NYK,72,2310.1433333333334,339,794,0.427,146,363,0.402,384,419,0.916,25,165,190,387,71,14,177,146,1208,1497
2010-11,Chris Andersen,DEN,45,732.32,82,137,0.599,0,1,0.0,86,135,0.637,75,144,219,20,23,58,25,79,250,2365
2010-11,Chris Bosh,MIA,77,2794.713333333333,524,1056,0.496,6,25,0.24,384,471,0.815,141,500,641,144,59,49,138,172,1438,2547
2010-11,Chris Douglas-Roberts,MIL,44,884.07,117,273,0.429,15,46,0.326,74,89,0.831,7,81,88,50,29,13,35,73,323,201604
2010-11,Chris Duhon,ORL,51,774.0233333333333,49,129,0.38,13,52,0.25,14,25,0.56,9,43,52,118,16,2,61,30,125,2768
2010-11,Chris Johnson,POR,14,138.88333333333333,9,21,0.429,0,0,0.0,15,20,0.75,12,20,32,3,3,9,10,21,33,202419
2010-11,Chris Kaman,LAC,32,837.3733333333333,177,376,0.471,0,0,0.0,43,57,0.754,51,174,225,46,16,48,58,75,397,2549
