TEAM_ID,SEASON_YEAR,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CONFERENCE,W,L,PCT,CONF_RANK,MIN_YEAR,MAX_YEAR
1610612737,2015-16,Atlanta,Hawks,ATL,East,48,34,0.585,4,1949,2015
1610612738,2015-16,Boston,Celtics,BOS,East,48,34,0.585,5,1946,2015
1610612739,2015-16,Cleveland,Cavaliers,CLE,East,57,25,0.695,1,1970,2015
1610612740,2015-16,New Orleans,Pelicans,NOP,West,30,52,0.366,12,2002,2015
1610612741,2015-16,Chicago,Bulls,CHI,East,42,40,0.512,9,1966,2015
1610612742,2015-16,Dallas,Mavericks,DAL,West,42,40,0.512,6,1980,2015
1610612743,2015-16,Denver,Nuggets,DEN,West,33,49,0.402,11,1976,2015
1610612744,2015-16,Golden State,Warriors,GSW,West,73,9,0.89,1,1946,2015
1610612745,2015-16,Houston,Rockets,HOU,West,41,41,0.5,8,1967,2015
1610612746,2015-16,Los Angeles,Clippers,LAC,West,53,29,0.646,4,1970,2015
1610612747,2015-16,Los Angeles,Lakers,LAL,West,17,65,0.207,15,1948,2015
1610612748,2015-16,Miami,Heat,MIA,East,48,34,0.585,3,1988,2015
1610612749,2015-16,Milwaukee,Bucks,MIL,East,33,49,0.402,12,1968,2015
1610612750,2015-16,Minnesota,Timberwolves,MIN,West,29,53,0.354,13,1989,2015
1610612751,2015-16,Brooklyn,Nets,BKN,East,21,61,0.256,14,1976,2015
1610612752,2015-16,New York,Knicks,NYK,East,32,50,0.39,13,1946,2015
1610612753,2015-16,Orlando,Magic,ORL,East,35,47,0.427,11,1989,2015
1610612754,2015-16,Indiana,Pacers,IND,East,45,37,0.549,7,1976,2015
1610612755,2015-16,Philadelphia,76ers,PHI,East,10,72,0.122,15,1949,2015
1610612756,2015-16,Phoenix,Suns,PHX,West,23,59,0.28,14,1968,2015
1610612757,2015-16,Portland,TrailBlazers,POR,West,44,38,0.537,5,1970,2015
1610612758,2015-16,Sacramento,Kings,SAC,West,33,49,0.402,10,1948,2015
1610612759,2015-16,San Antonio,Spurs,SAS,West,67,15,0.817,2,1976,2015
1610612760,2015-16,Oklahoma City,Thunder,OKC,West,55,27,0.671,3,1967,2015
1610612761,2015-16,Toronto,Raptors,TOR,East,56,26,0.683,2,1995,2015
1610612762,2015-16,Utah,Jazz,UTA,West,40,42,0.488,9,1974,2015
1610612763,2015-16,Memphis,Grizzlies,MEM,West,42,40,0.512,7,1995,2015
1610612764,2015-16,Washington,Wizards,WAS,East,41,41,0.5,10,1961,2015
1610612765,2015-16,Detroit,Pistons,DET,East,44,38,0.537,8,1948,2015
1610612766,2015-16,Charlotte,Hornets,CHA,East,48,34,0.585,6,1988,2015
