SEASON,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,TEAM_ID
1996-97,Atlanta Hawks,82,56,26,0.683,4076.4383333333335,2812,6307,0.446,659,1833,0.36,1491,1955,0.763,1021,2350,3371,1557,1228.0,701,427,332,1506,5,7774,446.0,1610612737
1996-97,Boston Celtics,82,15,67,0.183,4110.655,3066,6967,0.44,467,1331,0.351,1649,2199,0.75,1094,2188,3282,1792,1342.0,811,315,557,1779,9,8248,-601.0,1610612738
1996-97,Charlotte Hornets,82,54,28,0.659,4086.335,2988,6341,0.471,591,1382,0.428,1541,1984,0.777,910,2298,3208,2021,1203.0,597,349,335,1628,15,8108,153.0,1610612766
1996-97,Chicago Bulls,82,69,13,0.841,4068.7816666666668,3277,6923,0.473,523,1403,0.373,1381,1848,0.747,1235,2461,3696,2142,1109.0,717,332,286,1507,17,8458,886.0,1610612741
1996-97,Cleveland Cavaliers,82,42,40,0.512,4115.428333333333,2704,5972,0.453,483,1284,0.376,1282,1773,0.723,909,2159,3068,1714,1188.0,657,315,350,1728,20,7173,151.0,1610612739
1996-97,Dallas Mavericks,82,24,58,0.293,4090.83,2812,6451,0.436,429,1315,0.326,1375,1918,0.717,1039,2263,3302,1662,1323.0,654,351,433,1678,15,7428,-522.0,1610612742
1996-97,Denver Nuggets,82,21,61,0.256,4116.966666666666,2934,6687,0.439,636,1711,0.372,1516,1992,0.761,994,2452,3446,1889,1359.0,504,487,453,1669,19,8020,-515.0,1610612743
1996-97,Detroit Pistons,82,54,28,0.659,4090.8883333333333,2827,6095,0.464,582,1499,0.388,1487,1995,0.745,858,2291,3149,1554,1042.0,633,283,281,1524,15,7723,430.0,1610612765
1996-97,Golden State Warriors,82,30,52,0.366,4108.676666666666,2996,6566,0.456,481,1363,0.353,1696,2180,0.778,1086,2258,3344,1821,1410.0,612,359,395,1660,5,8169,-388.0,1610612744
1996-97,Houston Rockets,82,57,25,0.695,4089.153333333333,3037,6484,0.468,671,1839,0.365,1503,1992,0.755,927,2565,3492,2013,1365.0,688,347,365,1506,15,8248,367.0,1610612745
1996-97,Indiana Pacers,82,39,43,0.476,4132.256666666667,2851,6254,0.456,430,1130,0.381,1687,2336,0.722,1029,2389,3418,1750,1338.0,585,394,418,1813,28,7819,80.0,1610612754
1996-97,Los Angeles Clippers,82,36,46,0.439,4123.706666666667,2989,6696,0.446,474,1339,0.354,1517,2074,0.731,1092,2242,3334,1662,1311.0,733,441,419,1864,10,7969,-193.0,1610612746
1996-97,Los Angeles Lakers,82,56,26,0.683,4121.368333333333,3018,6642,0.454,551,1500,0.367,1613,2330,0.692,1092,2414,3506,1844,1222.0,740,575,388,1698,9,8200,350.0,1610612747
1996-97,Miami Heat,82,61,21,0.744,4100.8516666666665,2822,6235,0.453,678,1865,0.364,1454,2022,0.719,957,2401,3358,1735,1306.0,651,439,392,1741,21,7776,450.0,1610612748
1996-97,Milwaukee Bucks,82,33,49,0.402,4078.358333333333,2967,6303,0.471,324,920,0.352,1560,2104,0.741,955,2263,3218,1610,1285.0,634,348,392,1773,11,7818,-155.0,1610612749
1996-97,Minnesota Timberwolves,82,40,42,0.488,4087.5916666666667,2937,6435,0.456,371,1092,0.34,1637,2180,0.751,957,2302,3259,1874,1243.0,618,557,444,1699,13,7882,-121.0,1610612750
1996-97,New Jersey Nets,82,26,56,0.317,4078.4533333333334,2994,7091,0.422,484,1371,0.353,1502,2031,0.74,1410,2376,3786,1726,1290.0,678,481,516,1736,14,7974,-374.0,1610612751
1996-97,New York Knicks,82,57,25,0.695,4125.016666666666,2882,6227,0.463,470,1294,0.363,1585,2119,0.748,973,2516,3489,1809,1462.0,630,378,295,1862,14,7819,256.0,1610612752
1996-97,Orlando Magic,82,45,37,0.549,4087.943333333333,2839,6497,0.437,567,1662,0.341,1474,1975,0.746,1071,2221,3292,1689,1250.0,697,362,417,1564,9,7719,-29.0,1610612753
1996-97,Philadelphia 76ers,82,22,60,0.268,4071.365,3003,6850,0.438,433,1356,0.319,1776,2450,0.725,1267,2355,3622,1695,1437.0,683,394,494,1632,8,8215,-536.0,1610612755
1996-97,Phoenix Suns,82,40,42,0.488,4090.0016666666666,3143,6705,0.469,527,1428,0.369,1618,2125,0.761,916,2376,3292,2067,1180.0,664,322,372,1635,9,8431,54.0,1610612756
1996-97,Portland Trail Blazers,82,49,33,0.598,4111.315,3000,6465,0.464,501,1401,0.358,1613,2261,0.713,1058,2493,3551,1709,1357.0,640,434,428,1767,15,8114,342.0,1610612757
1996-97,Sacramento Kings,82,34,48,0.415,4100.348333333333,2999,6610,0.454,414,1058,0.391,1494,2065,0.723,1100,2306,3406,1799,1332.0,588,362,429,1872,9,7906,-277.0,1610612758
1996-97,San Antonio Spurs,82,20,62,0.244,4074.1666666666665,2826,6390,0.442,378,1180,0.32,1386,1929,0.719,1101,2129,3230,1661,1243.0,646,431,448,1628,13,7416,-646.0,1610612759
1996-97,Seattle SuperSonics,82,57,25,0.695,4093.4416666666666,2994,6413,0.467,559,1583,0.353,1725,2295,0.752,1010,2270,3280,1929,1231.0,904,388,423,1699,14,8272,633.0,1610612760
1996-97,Toronto Raptors,82,30,52,0.366,4091.786666666667,2897,6632,0.437,589,1624,0.363,1446,2008,0.72,1135,2254,3389,1714,1347.0,723,517,442,1801,7,7829,-256.0,1610612761
1996-97,Utah Jazz,82,64,18,0.78,4122.558333333333,3131,6216,0.504,334,902,0.37,1858,2416,0.769,889,2410,3299,2199,1259.0,748,418,373,1857,18,8454,721.0,1610612762
1996-97,Vancouver Grizzlies,82,14,68,0.171,4075.805,2819,6453,0.437,445,1274,0.349,1230,1734,0.709,1023,2155,3178,1862,1302.0,658,464,461,1641,5,7313,-839.0,1610612763
1996-97,Washington Bullets,82,44,38,0.537,4100.316666666667,3208,6678,0.48,331,1001,0.331,1400,1979,0.707,1011,2419,3430,1921,1290.0,715,402,334,1694,16,8147,133.0,1610612764
1997-98,Atlanta Hawks,82,50,32,0.61,3976.0,2887,6352,0.455,337,1016,0.332,1749,2314,0.756,1106,2416,3522,1569,1214.0,648,491,372,1671,13,7860,288.0,1610612737
1997-98,Boston Celtics,82,36,46,0.439,3946.0,3012,6934,0.434,415,1249,0.332,1425,1964,0.726,1196,2044,3240,1816,1330.0,987,366,406,2200,15,7864,-215.0,1610612738
