SEASON_YEAR,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,TEAM_ID
2006-07,100.1,105.5,-5.3,0.556,1.2,15.4,0.292,0.709,0.498,0.17,0.471,0.523,92.5,0.466,1610612737
2006-07,100.2,104.5,-4.4,0.57,1.21,15.7,0.27,0.738,0.499,0.172,0.479,0.53,94.46,0.459,1610612738
2006-07,102.6,98.9,3.7,0.574,1.45,16.3,0.297,0.758,0.522,0.152,0.484,0.522,93.2,0.52,1610612739
2006-07,101.9,104,-2.2,0.517,1.29,15,0.291,0.747,0.514,0.154,0.479,0.52,92.62,0.485,1610612740
2006-07,102.5,97,5.4,0.601,1.4,17.1,0.286,0.743,0.516,0.166,0.493,0.534,96.04,0.539,1610612741
2006-07,108.5,100.6,7.9,0.542,1.43,16.1,0.287,0.75,0.524,0.151,0.509,0.559,91.9,0.552,1610612742
2006-07,104.9,102.7,2.2,0.607,1.42,17.2,0.289,0.718,0.507,0.164,0.501,0.548,100.19,0.514,1610612743
2006-07,104.7,104.5,0.2,0.598,1.49,17.4,0.256,0.696,0.472,0.157,0.512,0.548,101.64,0.489,1610612744
2006-07,104,97.5,6.4,0.586,1.47,16.7,0.257,0.77,0.515,0.152,0.499,0.54,93.04,0.529,1610612745
2006-07,102.4,102.8,-0.4,0.612,1.42,17.1,0.272,0.747,0.512,0.162,0.481,0.537,93.2,0.509,1610612746
2006-07,105.6,106.1,-0.5,0.596,1.45,17.2,0.261,0.723,0.494,0.159,0.511,0.554,95.99,0.499,1610612747
2006-07,102.6,102,0.6,0.576,1.4,16.7,0.249,0.733,0.497,0.159,0.506,0.541,92.1,0.508,1610612748
2006-07,104,109.1,-5,0.567,1.43,16.8,0.276,0.681,0.476,0.158,0.504,0.541,94.77,0.456,1610612749
2006-07,101.1,105.3,-4.2,0.617,1.45,17.7,0.252,0.721,0.492,0.164,0.49,0.537,93.35,0.487,1610612750
2006-07,103.7,103.5,0.2,0.674,1.62,18.7,0.246,0.744,0.497,0.157,0.504,0.546,93.61,0.499,1610612751
2006-07,102.7,106.3,-3.6,0.528,1.09,14.8,0.31,0.74,0.527,0.181,0.494,0.539,93.14,0.471,1610612752
2006-07,102,101.7,0.4,0.53,1.1,15.2,0.293,0.737,0.52,0.183,0.5,0.544,92.2,0.502,1610612753
2006-07,100,103,-3,0.585,1.26,16,0.284,0.727,0.501,0.17,0.474,0.523,94.93,0.485,1610612754
2006-07,101,103.9,-2.9,0.569,1.33,16.2,0.272,0.708,0.491,0.163,0.48,0.53,93.17,0.489,1610612755
2006-07,111.4,103.4,8,0.626,1.78,19.3,0.227,0.719,0.486,0.147,0.551,0.59,98.08,0.561,1610612756
2006-07,101.7,107.3,-5.6,0.526,1.22,15.1,0.282,0.73,0.502,0.163,0.483,0.53,90.85,0.459,1610612757
2006-07,103.6,105.2,-1.7,0.566,1.39,15.9,0.231,0.725,0.473,0.149,0.491,0.545,97.23,0.485,1610612758
2006-07,106.7,97.4,9.2,0.605,1.6,17.9,0.242,0.757,0.51,0.15,0.521,0.561,91.97,0.569,1610612759
2006-07,104.1,107.5,-3.4,0.556,1.34,16.2,0.278,0.709,0.492,0.162,0.499,0.544,94.34,0.474,1610612760
2006-07,105,103.2,1.8,0.601,1.65,17.6,0.222,0.745,0.481,0.142,0.504,0.55,94.73,0.514,1610612761
2006-07,106.7,104.7,2,0.659,1.58,18.6,0.317,0.751,0.534,0.164,0.502,0.551,94.06,0.531,1610612762
2006-07,104.3,109.7,-5.4,0.56,1.25,16,0.259,0.711,0.485,0.168,0.504,0.555,95.88,0.462,1610612763
2006-07,106.7,108,-1.3,0.541,1.47,15.5,0.281,0.71,0.489,0.141,0.491,0.542,96.73,0.485,1610612764
2006-07,106.2,101.1,5.1,0.601,1.77,17.5,0.283,0.709,0.496,0.135,0.488,0.535,89.72,0.533,1610612765
2006-07,100.7,104.8,-4.1,0.62,1.5,17.3,0.264,0.716,0.483,0.155,0.48,0.524,94.55,0.471,1610612766
